"";"ASV0001";"ASV0003";"ASV0006";"ASV0008";"ASV0013";"ASV0016";"ASV0017";"ASV0021";"ASV0023";"ASV0025";"ASV0028";"ASV0029";"ASV0030";"ASV0031";"ASV0032";"ASV0034";"ASV0035";"ASV0036";"ASV0037";"ASV0038";"ASV0039";"ASV0040";"ASV0041";"ASV0042";"ASV0043";"ASV0045";"ASV0046";"ASV0048";"ASV0050";"ASV0052";"ASV0053";"ASV0056";"ASV0063";"ASV0064";"ASV0071";"ASV0072";"ASV0073";"ASV0075";"ASV0077";"ASV0079";"ASV0081";"ASV0083";"ASV0085";"ASV0086";"ASV0093";"ASV0096";"ASV0097";"ASV0098";"ASV0101";"ASV0102";"ASV0104";"ASV0107";"ASV0118";"ASV0120";"ASV0126";"ASV0127";"ASV0128";"ASV0131";"ASV0134";"ASV0135";"ASV0136";"ASV0142";"ASV0143";"ASV0145";"ASV0147";"ASV0190";"ASV0195";"ASV0205";"ASV0206";"ASV0210";"ASV0213";"ASV0214";"ASV0221";"ASV0223";"ASV0238";"ASV0251";"ASV0259";"ASV0261";"ASV0270";"ASV0273";"ASV0277";"ASV0279";"ASV0308";"ASV0315";"ASV0325";"ASV0343";"ASV0348";"ASV0349";"ASV0355";"ASV0371";"ASV0382";"ASV0386";"ASV0387";"ASV0395";"ASV0397";"ASV0403";"ASV0405";"ASV0423";"ASV0425";"ASV0434";"ASV0435";"ASV0442";"ASV0449";"ASV0451";"ASV0452";"ASV0456";"ASV0462";"ASV0469";"ASV0477";"ASV0501";"ASV0506";"ASV0510";"ASV0556";"ASV0559";"ASV0561";"ASV0569";"ASV0602";"ASV0612";"ASV0618";"ASV0624";"ASV0631";"ASV0641";"ASV0652";"ASV0676";"ASV0688";"ASV0690";"ASV0691";"ASV0711";"ASV0712";"ASV0719";"ASV0720";"ASV0724";"ASV0727";"ASV0729";"ASV0731";"ASV0741";"ASV0742";"ASV0744";"ASV0748";"ASV0772";"ASV0775";"ASV0792";"ASV0793";"ASV0799";"ASV0815";"ASV0828";"ASV0832";"ASV0834";"ASV0835";"ASV0838";"ASV0840";"ASV0865";"ASV0867";"ASV0869";"ASV0876";"ASV0882";"ASV0892";"ASV0895";"ASV0898";"ASV0911";"ASV0919";"ASV0929";"ASV0932";"ASV0939";"ASV0940";"ASV0961";"ASV0963";"ASV0966";"ASV0969";"ASV0986";"ASV0993";"ASV1041";"ASV1047";"ASV1056";"ASV1067";"ASV1079";"ASV1111";"ASV1112";"ASV1114";"ASV1119";"ASV1120";"ASV1134";"ASV1138";"ASV1154";"ASV1160";"ASV1170";"ASV1188";"ASV1191";"ASV1207";"ASV1212";"ASV1237";"ASV1244";"ASV1256";"ASV1257";"ASV1272";"ASV1276";"ASV1283";"ASV1284";"ASV1335";"ASV1342";"ASV1349";"ASV1351";"ASV1389";"ASV1403";"ASV1411";"ASV1412";"ASV1458";"ASV1463";"ASV1465";"ASV1468";"ASV1477";"ASV1506";"ASV1508";"ASV1511";"ASV1522";"ASV1532";"ASV1534";"ASV1536";"ASV1559";"ASV1562";"ASV1573";"ASV1575";"ASV1581";"ASV1593";"ASV1636";"ASV1642";"ASV1676";"ASV1691";"ASV1696";"ASV1742";"ASV1754";"ASV1773";"ASV1791";"ASV1795";"ASV1808";"ASV1846";"ASV1860";"ASV1870";"ASV1912";"ASV1924";"ASV1929";"ASV1934";"ASV1941";"ASV1955";"ASV1969";"ASV1984";"ASV1985";"ASV1990";"ASV2007";"ASV2015";"ASV2037";"ASV2046";"ASV2055";"ASV2080";"ASV2088";"ASV2097";"ASV2103";"ASV2146";"ASV2164";"ASV2165";"ASV2181";"ASV2194";"ASV2208";"ASV2225";"ASV2242";"ASV2259";"ASV2290";"ASV2317";"ASV2319";"ASV2376";"ASV2406";"ASV2418";"ASV2446";"ASV2480";"ASV2544";"ASV2590";"ASV2670";"ASV2691";"ASV2705";"ASV2711";"ASV2742";"ASV2759";"ASV2764";"ASV2833";"ASV2933";"ASV2935";"ASV3081";"ASV3127";"ASV3172";"ASV3215";"ASV3227";"ASV3255";"ASV3297";"ASV3300";"ASV3302";"ASV3307";"ASV3314";"ASV3325";"ASV3349";"ASV3363";"ASV3378";"ASV3394";"ASV3433";"ASV3506";"ASV3511";"ASV3572";"ASV3586";"ASV3587";"ASV3621";"ASV3661";"ASV3701";"ASV3703";"ASV3733";"ASV3753";"ASV3755";"ASV3777";"ASV3778";"ASV3886";"ASV3888";"ASV3954";"ASV3956";"ASV3958";"ASV3982";"ASV3988";"ASV4011";"ASV4012";"ASV4016";"ASV4017";"ASV4018";"ASV4056";"ASV4069";"ASV4077";"ASV4090";"ASV4091";"ASV4135";"ASV4211";"ASV4267";"ASV4269";"ASV4292";"ASV4295";"ASV4353";"ASV4357";"ASV4430";"ASV4461";"ASV4478";"ASV4538";"ASV4660";"ASV4742";"ASV4744";"ASV4857";"ASV4866";"ASV4869";"ASV4870";"ASV4917";"ASV4983";"ASV4987";"ASV4992";"ASV5076";"ASV5119";"ASV5120";"ASV5248";"ASV5251";"ASV5253";"ASV5255";"ASV5368";"ASV5542";"ASV5543";"ASV5546";"ASV5550";"ASV5552";"ASV5553";"ASV5726";"ASV5730";"ASV5888";"ASV5889";"ASV6094";"ASV6099";"ASV6104"
"C1A17";0;0;0;0;0;0;0;298;0;0;0;239;85;0;0;239;0;0;0;0;24;0;77;0;0;56;0;0;0;2517;0;0;0;0;1911;0;0;0;0;43;1868;0;0;0;125;0;0;636;0;0;0;0;0;25;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;521;0;0;0;0;0;0;9;0;0;0;0;0;0;0;398;0;0;4;0;10;0;0;0;0;0;0;341;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;7;0;15;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1F18";3177;2499;2309;1526;210;194;155;470;58;0;191;344;215;73;58;309;43;132;0;66;0;60;171;0;84;142;0;232;121;121;80;41;82;168;111;39;159;0;889;90;105;36;78;154;86;117;61;61;6;77;90;41;62;724;107;645;0;64;7;0;0;67;0;6;51;0;0;0;224;9;0;53;402;4;0;0;0;5;51;0;3;65;0;19;0;0;0;0;0;47;154;0;53;140;17;3;15;108;27;56;0;0;0;0;41;0;60;10;0;0;77;36;6;0;10;0;0;17;0;8;9;24;0;0;0;0;40;13;0;22;17;13;0;1;39;8;0;0;33;0;33;49;0;0;5;15;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;29;11;0;0;0;0;0;0;19;9;0;11;67;0;5;0;0;0;2;0;0;34;0;8;0;0;32;0;0;0;0;7;0;0;0;0;0;25;0;0;0;0;0;16;13;0;0;0;8;0;14;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;11;0;0;0;0;0;5;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;23;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1A18";3732;2797;2616;1739;590;494;417;48;99;88;0;37;0;0;259;19;84;155;0;73;0;184;0;0;161;0;0;330;133;74;94;767;100;300;51;564;272;0;0;0;53;538;459;0;0;0;84;0;373;386;98;117;334;0;0;0;0;14;271;0;0;88;27;266;86;0;0;0;34;167;0;0;34;183;0;0;0;105;39;0;120;57;0;0;67;0;0;24;0;81;0;0;32;0;0;71;0;59;0;33;0;0;0;0;28;0;0;18;28;0;0;0;135;0;32;0;0;66;0;0;37;0;0;0;40;0;0;18;0;0;34;20;0;93;0;108;33;40;0;0;8;0;0;0;8;0;0;0;0;0;0;0;1;23;0;34;0;30;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;9;0;0;0;0;0;3;14;0;0;0;0;58;0;3;0;0;0;39;0;0;0;0;0;0;0;29;0;11;0;14;0;0;0;0;0;0;0;2;0;0;0;0;0;0;31;0;28;0;25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;4;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A17";0;0;0;0;0;0;0;0;0;35;0;0;27;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;10;0;0;0;0;0;0;0;0;0;0;0;60;0;0;69;0;23;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";503;395;370;258;51;43;46;62;8;0;842;49;580;106;63;101;3;0;0;6;0;45;443;0;42;396;0;70;0;101;0;21;110;40;72;28;43;18;334;267;75;24;14;64;225;1370;86;216;1;19;38;72;9;300;1138;241;0;135;2;0;0;28;0;4;54;0;0;0;115;0;0;104;156;2;0;0;0;0;0;0;0;16;0;49;29;0;0;0;0;49;0;0;16;0;38;0;44;19;0;15;0;103;0;0;45;0;0;7;0;0;64;0;0;92;0;0;0;0;0;31;0;0;0;0;0;0;45;0;0;0;25;7;0;0;0;0;0;0;33;0;68;0;0;40;0;22;0;17;56;0;14;31;5;0;0;0;0;0;0;0;75;0;13;18;9;0;0;0;0;58;0;0;0;0;0;2;0;30;0;7;0;0;17;0;11;0;0;54;0;0;0;0;0;34;6;3;34;0;47;0;0;0;15;0;0;6;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A18";2648;1895;1793;1193;396;318;262;41;85;112;0;22;16;0;159;16;45;93;0;58;0;109;0;0;101;0;0;674;70;37;70;425;85;475;61;336;523;0;89;0;28;300;1187;0;27;0;68;13;208;872;75;76;883;0;0;0;0;0;180;0;0;67;64;172;63;0;0;0;12;99;0;0;0;108;38;41;0;67;46;19;68;107;0;13;0;0;0;0;0;56;11;0;73;0;0;35;0;0;0;58;0;0;0;0;0;62;0;0;0;0;0;0;274;0;49;0;0;0;0;0;60;0;0;10;15;0;0;51;0;0;0;8;0;213;0;199;130;28;10;0;10;0;0;0;0;21;0;0;0;0;0;0;0;130;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;3;0;0;0;30;4;0;0;4;0;8;5;0;41;0;0;0;4;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;9;0;17;0;0;1;0;0;18;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;12;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3A17";0;0;0;0;0;0;0;0;0;33;0;0;1796;0;0;41;0;0;58;0;31;0;1350;30;0;1345;0;0;0;46;0;0;0;0;0;0;0;0;113;863;0;0;0;0;43;0;0;218;0;49;0;0;0;66;0;62;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;41;0;25;0;0;0;0;357;0;0;0;0;0;0;0;66;0;0;287;0;277;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;0;2;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";51;0;35;0;0;0;0;131;4;0;559;90;5262;0;0;93;1;0;0;2;0;22;3860;0;0;3721;0;98;0;273;0;8;149;0;193;0;0;0;181;2414;208;0;0;81;1970;379;0;1523;13;0;9;0;0;164;319;152;0;1459;0;0;0;0;0;0;0;0;0;0;0;0;0;939;121;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;96;0;103;36;0;0;0;0;0;0;26;0;106;36;0;20;101;0;11;0;0;0;0;25;0;62;0;0;0;0;37;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;20;0;12;10;3;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;24;13;11;11;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;54;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3A18";708;597;533;319;477;414;408;77;181;0;0;67;0;0;109;66;120;20;0;119;49;83;23;0;63;60;0;187;22;149;18;612;147;131;114;474;124;0;34;0;122;407;165;0;208;0;115;252;515;183;176;83;138;0;0;0;0;146;378;40;1;135;257;400;130;71;0;0;77;186;2;106;0;261;199;192;41;192;32;77;159;22;0;0;0;0;1;0;0;57;0;0;30;0;40;86;11;59;16;20;31;0;0;0;0;0;0;0;0;30;0;0;32;0;19;0;0;88;0;0;18;18;0;0;49;0;0;12;0;22;0;0;0;31;0;25;50;28;0;0;2;40;0;10;0;0;0;4;0;33;38;0;0;38;0;125;0;36;0;0;0;0;27;40;28;0;12;29;0;0;19;0;0;28;0;0;0;11;0;0;0;37;0;0;0;1;0;2;2;28;0;25;0;12;11;0;0;0;1;17;27;0;12;9;3;0;0;0;0;1;0;1;12;0;0;12;0;0;0;0;25;0;17;0;0;0;0;0;1;10;0;13;0;0;11;6;0;0;0;0;0;0;0;0;0;0;0;9;0;16;0;0;0;2;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4A17";0;0;26;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;42;0;46;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;68;25;0;0;0;0;48;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;46;0;0;0;0;0;0;13;0;0;0;0;0;0;0;68;0;0;0;0;3;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
