"";"ASV0001";"ASV0003";"ASV0006";"ASV0008";"ASV0013";"ASV0016";"ASV0017";"ASV0020";"ASV0021";"ASV0023";"ASV0025";"ASV0028";"ASV0029";"ASV0030";"ASV0031";"ASV0032";"ASV0033";"ASV0034";"ASV0035";"ASV0036";"ASV0037";"ASV0038";"ASV0039";"ASV0040";"ASV0041";"ASV0042";"ASV0043";"ASV0045";"ASV0046";"ASV0048";"ASV0050";"ASV0052";"ASV0053";"ASV0054";"ASV0056";"ASV0063";"ASV0064";"ASV0069";"ASV0071";"ASV0072";"ASV0073";"ASV0075";"ASV0077";"ASV0079";"ASV0081";"ASV0083";"ASV0085";"ASV0086";"ASV0093";"ASV0097";"ASV0101";"ASV0102";"ASV0104";"ASV0107";"ASV0118";"ASV0120";"ASV0124";"ASV0127";"ASV0128";"ASV0131";"ASV0134";"ASV0135";"ASV0142";"ASV0143";"ASV0145";"ASV0147";"ASV0183";"ASV0190";"ASV0205";"ASV0206";"ASV0210";"ASV0214";"ASV0221";"ASV0223";"ASV0238";"ASV0251";"ASV0255";"ASV0257";"ASV0259";"ASV0261";"ASV0270";"ASV0271";"ASV0273";"ASV0277";"ASV0279";"ASV0283";"ASV0302";"ASV0308";"ASV0315";"ASV0325";"ASV0348";"ASV0349";"ASV0351";"ASV0352";"ASV0355";"ASV0357";"ASV0366";"ASV0371";"ASV0382";"ASV0383";"ASV0386";"ASV0387";"ASV0395";"ASV0400";"ASV0403";"ASV0413";"ASV0425";"ASV0427";"ASV0434";"ASV0435";"ASV0442";"ASV0445";"ASV0448";"ASV0451";"ASV0452";"ASV0454";"ASV0456";"ASV0462";"ASV0468";"ASV0469";"ASV0470";"ASV0501";"ASV0506";"ASV0507";"ASV0510";"ASV0536";"ASV0540";"ASV0559";"ASV0561";"ASV0569";"ASV0602";"ASV0603";"ASV0615";"ASV0618";"ASV0631";"ASV0637";"ASV0638";"ASV0646";"ASV0652";"ASV0662";"ASV0676";"ASV0677";"ASV0682";"ASV0688";"ASV0690";"ASV0701";"ASV0711";"ASV0720";"ASV0724";"ASV0731";"ASV0744";"ASV0765";"ASV0772";"ASV0775";"ASV0790";"ASV0793";"ASV0799";"ASV0834";"ASV0838";"ASV0840";"ASV0848";"ASV0860";"ASV0865";"ASV0867";"ASV0876";"ASV0882";"ASV0898";"ASV0911";"ASV0929";"ASV0930";"ASV0932";"ASV0939";"ASV0940";"ASV0956";"ASV0962";"ASV0963";"ASV0969";"ASV0986";"ASV0998";"ASV1041";"ASV1045";"ASV1047";"ASV1054";"ASV1056";"ASV1067";"ASV1072";"ASV1078";"ASV1079";"ASV1081";"ASV1082";"ASV1107";"ASV1111";"ASV1112";"ASV1119";"ASV1151";"ASV1154";"ASV1175";"ASV1188";"ASV1189";"ASV1191";"ASV1198";"ASV1207";"ASV1212";"ASV1228";"ASV1250";"ASV1252";"ASV1256";"ASV1257";"ASV1260";"ASV1265";"ASV1267";"ASV1272";"ASV1274";"ASV1283";"ASV1284";"ASV1285";"ASV1293";"ASV1297";"ASV1303";"ASV1328";"ASV1335";"ASV1337";"ASV1341";"ASV1347";"ASV1348";"ASV1351";"ASV1363";"ASV1365";"ASV1389";"ASV1403";"ASV1406";"ASV1411";"ASV1412";"ASV1419";"ASV1436";"ASV1453";"ASV1476";"ASV1477";"ASV1480";"ASV1488";"ASV1491";"ASV1506";"ASV1511";"ASV1519";"ASV1522";"ASV1534";"ASV1538";"ASV1539";"ASV1559";"ASV1568";"ASV1593";"ASV1595";"ASV1601";"ASV1608";"ASV1609";"ASV1610";"ASV1611";"ASV1619";"ASV1662";"ASV1666";"ASV1676";"ASV1691";"ASV1728";"ASV1738";"ASV1742";"ASV1748";"ASV1750";"ASV1760";"ASV1773";"ASV1793";"ASV1808";"ASV1811";"ASV1831";"ASV1860";"ASV1874";"ASV1924";"ASV1929";"ASV1933";"ASV1941";"ASV1955";"ASV1957";"ASV1969";"ASV1973";"ASV1989";"ASV1998";"ASV2001";"ASV2003";"ASV2005";"ASV2007";"ASV2016";"ASV2027";"ASV2036";"ASV2050";"ASV2055";"ASV2089";"ASV2103";"ASV2108";"ASV2121";"ASV2126";"ASV2137";"ASV2158";"ASV2169";"ASV2203";"ASV2210";"ASV2226";"ASV2227";"ASV2228";"ASV2245";"ASV2249";"ASV2262";"ASV2263";"ASV2287";"ASV2302";"ASV2308";"ASV2336";"ASV2350";"ASV2352";"ASV2376";"ASV2384";"ASV2404";"ASV2408";"ASV2419";"ASV2444";"ASV2446";"ASV2450";"ASV2459";"ASV2461";"ASV2474";"ASV2480";"ASV2482";"ASV2503";"ASV2524";"ASV2536";"ASV2538";"ASV2556";"ASV2565";"ASV2566";"ASV2590";"ASV2605";"ASV2628";"ASV2662";"ASV2665";"ASV2683";"ASV2691";"ASV2705";"ASV2726";"ASV2727";"ASV2746";"ASV2759";"ASV2774";"ASV2779";"ASV2799";"ASV2805";"ASV2813";"ASV2823";"ASV2833";"ASV2852";"ASV2854";"ASV2870";"ASV2922";"ASV2923";"ASV2926";"ASV2935";"ASV2954";"ASV2955";"ASV2965";"ASV3010";"ASV3042";"ASV3065";"ASV3134";"ASV3135";"ASV3170";"ASV3185";"ASV3188";"ASV3238";"ASV3255";"ASV3261";"ASV3281";"ASV3285";"ASV3297";"ASV3300";"ASV3302";"ASV3314";"ASV3319";"ASV3332";"ASV3333";"ASV3334";"ASV3376";"ASV3378";"ASV3381";"ASV3388";"ASV3404";"ASV3412";"ASV3439";"ASV3445";"ASV3511";"ASV3519";"ASV3520";"ASV3536";"ASV3559";"ASV3592";"ASV3621";"ASV3658";"ASV3695";"ASV3748";"ASV3749";"ASV3777";"ASV3785";"ASV3796";"ASV3800";"ASV3846";"ASV3869";"ASV3956";"ASV3961";"ASV3973";"ASV3982";"ASV4011";"ASV4031";"ASV4033";"ASV4052";"ASV4056";"ASV4107";"ASV4111";"ASV4118";"ASV4135";"ASV4159";"ASV4160";"ASV4167";"ASV4214";"ASV4231";"ASV4243";"ASV4249";"ASV4267";"ASV4275";"ASV4303";"ASV4314";"ASV4318";"ASV4320";"ASV4327";"ASV4332";"ASV4422";"ASV4424";"ASV4430";"ASV4444";"ASV4447";"ASV4501";"ASV4506";"ASV4509";"ASV4596";"ASV4599";"ASV4635";"ASV4679";"ASV4682";"ASV4683";"ASV4685";"ASV4729";"ASV4766";"ASV4767";"ASV4769";"ASV4773";"ASV4780";"ASV4786";"ASV4787";"ASV4843";"ASV4872";"ASV4896";"ASV4899";"ASV4902";"ASV4903";"ASV4907";"ASV5019";"ASV5036";"ASV5150";"ASV5157";"ASV5164";"ASV5308";"ASV5309";"ASV5310";"ASV5407";"ASV5433";"ASV5434";"ASV5437";"ASV5438";"ASV5447";"ASV5454";"ASV5455";"ASV5459";"ASV5460";"ASV5589";"ASV5599";"ASV5600";"ASV5601";"ASV5616";"ASV5653";"ASV5753";"ASV5760";"ASV5761";"ASV5771";"ASV5927";"ASV5947";"ASV5948";"ASV5949";"ASV5963";"ASV5964";"ASV6099";"ASV6149";"ASV6152";"ASV6158";"ASV6179"
"C1A17";0;0;0;0;0;0;0;0;298;0;0;0;239;85;0;0;0;239;0;0;0;0;24;0;77;0;0;56;0;0;0;2517;0;0;0;0;0;754;1911;0;0;0;0;43;1868;0;0;0;125;0;0;0;0;0;0;25;117;0;0;90;0;0;0;0;0;0;32;0;0;0;0;57;0;0;0;0;25;31;521;0;0;0;0;0;0;0;162;0;9;0;0;0;0;0;0;0;0;0;0;0;398;0;0;0;0;135;0;133;0;0;0;0;0;341;0;0;0;0;0;62;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;85;77;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;52;0;0;0;40;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;47;0;0;0;0;43;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1F18";3177;2499;2309;1526;210;194;155;266;470;58;0;191;344;215;73;58;194;309;43;132;0;66;0;60;171;0;84;142;0;232;121;121;80;123;41;82;168;78;111;39;159;0;889;90;105;36;78;154;86;61;6;77;90;41;62;724;55;645;0;64;7;0;67;0;6;51;69;0;0;224;9;53;402;4;0;0;41;45;0;5;51;8;0;3;65;0;0;0;19;0;0;0;42;60;0;5;0;47;154;7;0;53;140;0;3;0;27;0;56;0;0;35;0;0;41;0;0;60;33;10;0;0;77;0;36;0;0;0;10;0;0;0;0;0;9;0;0;0;0;61;0;0;62;0;0;0;13;17;13;39;0;0;0;33;0;0;0;0;0;0;0;0;0;14;0;0;0;0;29;0;11;0;0;0;0;0;0;19;0;0;0;11;30;67;0;0;13;5;0;0;0;0;0;2;0;0;0;0;0;32;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;16;13;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;5;0;6;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;11;0;0;0;0;0;33;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1A18";3732;2797;2616;1739;590;494;417;0;48;99;88;0;37;0;0;259;0;19;84;155;0;73;0;184;0;0;161;0;0;330;133;74;94;0;767;100;300;15;51;564;272;0;0;0;53;538;459;0;0;84;373;386;98;117;334;0;0;0;0;14;271;0;88;27;266;86;0;0;0;34;167;0;34;183;0;0;0;0;0;105;39;32;0;120;57;0;0;0;0;67;0;24;24;203;0;24;0;81;0;21;0;32;0;0;71;0;0;0;33;0;0;30;0;0;28;0;0;0;26;18;0;0;0;157;0;0;0;0;32;0;0;0;0;0;37;132;0;0;0;0;0;13;0;40;0;0;18;34;20;0;40;0;0;8;0;0;0;0;0;0;0;0;0;1;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;31;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;5;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A17";0;0;0;0;0;0;0;0;0;0;35;0;0;27;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;0;10;0;80;0;0;0;0;0;0;0;0;0;0;60;0;0;23;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";503;395;370;258;51;43;46;1149;62;8;0;842;49;580;106;63;830;101;3;0;0;6;0;45;443;0;42;396;0;70;0;101;0;527;21;110;40;307;72;28;43;18;334;267;75;24;14;64;225;86;1;19;38;72;9;300;161;241;0;135;2;0;28;0;4;54;260;0;0;115;0;104;156;2;0;0;202;183;0;0;0;4;0;0;16;0;0;0;49;29;0;0;30;61;0;1;0;49;0;7;0;16;0;0;0;0;0;0;15;0;103;17;0;0;45;0;0;0;17;7;0;0;64;44;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;25;7;0;0;0;0;68;0;0;40;17;0;14;0;0;31;5;0;0;0;0;0;0;13;18;9;0;0;0;0;58;0;0;0;0;22;0;0;0;0;2;0;0;0;0;30;7;0;0;0;0;0;54;0;0;0;0;0;0;0;34;0;0;0;6;0;34;0;0;0;0;0;0;47;0;0;0;0;0;0;7;15;0;0;0;6;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A18";2648;1895;1793;1193;396;318;262;0;41;85;112;0;22;16;0;159;0;16;45;93;0;58;0;109;0;0;101;0;0;674;70;37;70;0;425;85;475;9;61;336;523;0;89;0;28;300;1187;0;27;68;208;872;75;76;883;0;0;0;0;0;180;0;67;64;172;63;37;0;0;12;99;0;0;108;38;41;38;26;0;67;46;23;19;68;107;0;0;0;13;0;0;0;47;123;0;19;0;56;11;18;0;73;0;0;35;0;0;0;58;0;0;34;0;0;0;0;62;0;31;0;0;0;0;0;0;0;0;0;49;0;0;0;40;0;60;40;15;0;0;0;10;24;0;15;0;0;51;0;8;0;28;0;0;10;15;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;8;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4;0;24;0;0;0;0;17;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3A17";0;0;0;0;0;0;0;0;0;0;33;0;0;1796;0;0;0;41;0;0;58;0;31;0;1350;30;0;1345;0;0;0;46;0;0;0;0;0;235;0;0;0;0;113;863;0;0;0;0;43;0;0;49;0;0;0;66;67;62;0;39;0;0;0;0;0;0;7;0;0;0;0;0;62;0;0;0;10;6;41;0;25;0;0;0;0;0;0;0;357;0;0;0;0;18;0;0;84;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";51;0;35;0;0;0;0;823;131;4;0;559;90;5262;0;0;523;93;1;0;0;2;0;22;3860;0;0;3721;0;98;0;273;0;359;8;149;0;2111;193;0;0;0;181;2414;208;0;0;81;1970;0;13;0;9;0;0;164;1552;152;0;1459;0;0;0;0;0;0;658;0;0;0;0;939;121;0;0;0;445;504;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;106;0;36;0;20;101;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;0;16;37;0;0;0;0;0;40;0;0;0;20;0;12;10;0;0;16;0;13;0;0;0;0;0;0;24;0;13;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;12;0;0;0;0;0;0;0;11;0;2;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3A18";708;597;533;319;477;414;408;0;77;181;0;0;67;0;0;109;0;66;120;20;0;119;49;83;23;0;63;60;0;187;22;149;18;0;612;147;131;336;114;474;124;0;34;0;122;407;165;0;208;115;515;183;176;83;138;0;167;0;0;146;378;40;135;257;400;130;219;71;0;77;186;106;0;261;199;192;152;116;41;192;32;88;77;159;22;0;0;0;0;0;1;0;24;177;0;66;0;57;0;44;0;30;0;0;86;0;16;0;20;31;0;26;0;0;0;0;0;0;14;0;0;30;0;132;0;0;0;0;19;0;0;0;0;0;18;144;21;0;0;0;0;10;0;49;0;42;12;0;0;0;28;0;0;2;69;0;10;4;33;38;76;0;0;0;0;125;0;0;0;0;27;40;28;0;37;12;0;0;0;0;0;0;0;28;0;0;17;0;0;0;0;0;11;0;0;0;0;0;53;2;0;2;28;0;0;0;0;12;0;0;0;11;0;0;0;0;14;0;0;0;1;0;0;0;0;0;46;79;12;9;0;3;0;0;0;0;0;0;20;0;0;1;0;50;0;0;0;0;0;0;0;13;0;0;0;13;0;0;0;42;0;0;0;0;10;0;0;0;13;0;11;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;7;0;0;0;0;3;0;0;54;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4A17";0;0;26;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;42;0;46;0;0;0;0;0;0;58;0;0;0;0;0;139;0;0;0;0;68;25;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;22;0;0;0;7;9;46;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;36;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
