"";"ASV0034_Micromonas_bravo_B1";"ASV0008_Ostreococcus_lucimarinus";"ASV0006_Ostreococcus_lucimarinus";"ASV0036_Ostreococcus_lucimarinus";"ASV1079_Micromonas_pusilla";"ASV0035_Micromonas_commoda_A2";"ASV1593_Micromonas_pusilla";"ASV0023_Micromonas_commoda_A2";"ASV0003_Ostreococcus_lucimarinus";"ASV0021_Micromonas_bravo_B1";"ASV0001_Ostreococcus_lucimarinus";"ASV0053_Ostreococcus_lucimarinus";"ASV1119_Micromonas_pusilla";"ASV0029_Micromonas_bravo_B1";"ASV0867_Micromonas_pusilla";"ASV0038_Micromonas_commoda_A2";"ASV0050_Ostreococcus_lucimarinus"
"C1A17";239;0;0;0;0;0;0;0;0;298;0;0;0;239;0;0;0
"C1F18";309;1526;2309;132;5;43;5;58;2499;470;3177;80;2;344;14;66;121
"C1A18";19;1739;2616;155;0;84;2;99;2797;48;3732;94;3;37;1;73;133
"C2A17";27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";101;258;370;0;2;3;0;8;395;62;503;0;7;49;5;6;0
"C2A18";16;1193;1793;93;0;45;0;85;1895;41;2648;70;0;22;0;58;70
"C3A17";41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";93;0;35;0;0;1;0;4;0;131;51;0;0;90;0;2;0
"C3A18";66;319;533;20;0;120;0;181;597;77;708;18;0;67;0;119;22
"C4A17";0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4F18";181;0;63;0;0;0;0;5;32;262;0;0;0;206;0;1;0
"C4A18";80;368;577;37;0;213;0;315;680;146;782;14;0;107;0;199;29
"F1A17";365;323;449;28;9;77;7;95;449;461;556;13;7;328;7;65;28
"F1F18";0;98;201;0;0;0;0;20;179;61;253;0;0;0;5;0;0
"F1A18";57;1279;1895;108;7;102;4;115;2033;66;2791;85;3;43;4;76;87
"F2A17";380;313;510;33;11;107;2;138;491;647;681;26;3;495;11;110;18
"F2F18";20;375;507;32;2;36;0;36;538;37;672;17;0;34;7;20;20
"F2A18";99;2980;4375;252;3;168;2;237;4775;133;6340;182;5;96;8;161;222
