"";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim"
"S01";96038;69746;69354;69182;66028;58292
"S02";87144;73752;72962;72469;68604;62120
"S03";73976;62237;61177;60938;54898;44548
"S04";70701;59514;59312;59116;57628;55831
"S05";79975;68308;67541;66982;63465;55810
"S06";83499;71829;70866;70748;65738;55478
"S07";86841;73343;73074;72972;71565;68066
"S08";93980;78103;77489;77139;75000;67217
"S09";85108;66518;65236;64832;57848;47909
"S10";80543;66985;66660;66403;63783;57357
"S11";75556;63822;63134;62764;60506;54115
"S12";74706;62777;61692;61631;57088;49725
"S13";73542;62173;61379;61292;56276;47482
"S14";71859;61955;61318;61078;57215;53620
"S15";86165;73615;72765;72656;68262;56278
"S16";75502;60307;59473;59274;55035;49829
"S17";81498;69824;69010;68694;65090;60157
"S18";89908;74920;73931;73562;68835;57486
"S19";76898;60071;59450;59520;55883;51057
"S20";87351;74445;73714;73100;68670;61745
"S21";89056;75348;74537;74278;70112;60307
"S22";73032;59050;58649;58380;54961;48593
"S23";90657;77590;76709;76189;70938;63873
"S24";91630;77850;76792;76300;69907;55607
"S25";85435;72558;71526;71400;67683;61294
"S26";89990;74731;73917;73762;70135;64731
"S27";93414;80311;79032;78851;73779;66159
"S28";75626;64261;63410;63331;60522;54379
"S29";86305;71514;70723;70672;66574;61991
"S30";94149;79320;77920;77895;71467;63791
"S31";86834;71724;70681;70496;66384;61258
"S32";92761;82718;82041;81705;79502;74124
"S33";86338;75365;74138;73943;67843;58960
"S34";76299;63872;62919;62932;59127;53115
"S35";87176;74163;73590;73304;70347;65242
"S36";86715;74371;73501;73307;69796;62519
"S39";75392;65662;65020;64841;62064;55900
"S40";87953;75596;73854;73552;67130;58754
"S41";71283;62109;61627;61327;58663;53146
"S42";85319;70485;70070;69680;66706;58698
"S43";91750;73002;72044;71892;68530;60753
"S44";79555;65848;64701;64328;57502;50372
"S45";96140;80974;80525;80205;77986;73534
"S46";87689;71058;70131;69814;65436;59743
"S47";80355;67241;66483;66071;61955;53952
"S48";87850;66727;66577;66233;63207;54840
"S49";85987;71335;70496;70151;65792;55327
"S50";102789;83448;82846;82320;78113;72068
"S51";71969;62391;62039;61790;59844;52161
"S52";71059;62342;61579;61517;57485;49898
"S53";86552;71131;69761;69108;64299;56120
"S54";92612;75764;75586;75196;73283;63693
"S55";88523;73261;72266;72184;67927;59665
"S56";89800;72072;71339;70959;66556;60848
"S57";81415;70277;69703;69434;66305;57421
"S58";75250;63786;63114;62966;59485;51457
"S59";90121;74928;74591;74565;69978;63885
"S60";67839;57813;57136;56625;52124;46097
"S61";95679;80596;80248;80086;78349;75980
"S62";76328;59239;58506;58043;53167;47074
"S63";98357;82563;82107;81471;79328;76093
"S64";85076;72792;72344;71889;68486;59972
"S65";74855;61440;60511;60313;55613;48924
"S66";85955;71555;71322;70205;68297;66372
"S67";78771;67314;67016;66666;64591;57585
"S68";54766;41009;39698;39690;33977;30707
"S69";79521;65489;64648;64368;58934;53587
"S70";86165;73615;72765;72656;68262;56278
"S71";86338;75365;74138;73943;67843;58960
"S72";91630;77850;76792;76300;69907;55607
"S73";89056;75348;74537;74278;70112;60307
"S74";83499;71829;70866;70748;65738;55478
