"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"C1A17";96038;69746;69354;69182;66028;58292;60,7
"C1F18";87144;73752;72962;72469;68604;62120;71,3
"C1A18";73976;62237;61177;60938;54898;44548;60,2
"C2A17";70701;59514;59312;59116;57628;55831;79
"C2F18";79975;68308;67541;66982;63465;55810;69,8
"C2A18";83499;71829;70866;70748;65738;55478;66,4
"C3A17";86841;73343;73074;72972;71565;68066;78,4
"C3F18";93980;78103;77489;77139;75000;67217;71,5
"C3A18";85108;66518;65236;64832;57848;47909;56,3
"C4A17";80543;66985;66660;66403;63783;57357;71,2
"C4F18";75556;63822;63134;62764;60506;54115;71,6
"C4A18";74706;62777;61692;61631;57088;49725;66,6
"F1A17";73542;62173;61379;61292;56276;47482;64,6
"F1F18";71859;61955;61318;61078;57215;53620;74,6
"F1A18";86165;73615;72765;72656;68262;56278;65,3
"F2A17";75502;60307;59473;59274;55035;49829;66
"F2F18";81498;69824;69010;68694;65090;60157;73,8
"F2A18";89908;74920;73931;73562;68835;57486;63,9
"F3A17";76898;60071;59450;59520;55883;51057;66,4
"F3F18";87351;74445;73714;73100;68670;61745;70,7
"F3A18";89056;75348;74537;74278;70112;60307;67,7
"F4A17";73032;59050;58649;58380;54961;48593;66,5
"F4F18";90657;77590;76709;76189;70938;63873;70,5
"F4A18";91630;77850;76792;76300;69907;55607;60,7
"H1A17";85435;72558;71526;71400;67683;61294;71,7
"H1F18";89990;74731;73917;73762;70135;64731;71,9
"H1A18";93414;80311;79032;78851;73779;66159;70,8
"H2A17";75626;64261;63410;63331;60522;54379;71,9
"H2F18";86305;71514;70723;70672;66574;61991;71,8
"H2A18";94149;79320;77920;77895;71467;63791;67,8
"H3A17";86834;71724;70681;70496;66384;61258;70,5
"H3F18";92761;82718;82041;81705;79502;74124;79,9
"H3A18";86338;75365;74138;73943;67843;58960;68,3
"H4A17";76299;63872;62919;62932;59127;53115;69,6
"H4F18";87176;74163;73590;73304;70347;65242;74,8
"H4A18";86715;74371;73501;73307;69796;62519;72,1
"P1F18";75392;65662;65020;64841;62064;55900;74,1
"P1A18";87953;75596;73854;73552;67130;58754;66,8
"P2F18";71283;62109;61627;61327;58663;53146;74,6
"P3F18";85319;70485;70070;69680;66706;58698;68,8
"P4F18";91750;73002;72044;71892;68530;60753;66,2
"Re1A17";79555;65848;64701;64328;57502;50372;63,3
"Re1F18";96140;80974;80525;80205;77986;73534;76,5
"L1A17";87689;71058;70131;69814;65436;59743;68,1
"L1F18";80355;67241;66483;66071;61955;53952;67,1
"L1A18";87850;66727;66577;66233;63207;54840;62,4
"L2A17";85987;71335;70496;70151;65792;55327;64,3
"L2F18";102789;83448;82846;82320;78113;72068;70,1
"L2A18";71969;62391;62039;61790;59844;52161;72,5
"L3A17";71059;62342;61579;61517;57485;49898;70,2
"L3F18";86552;71131;69761;69108;64299;56120;64,8
"L3A18";92612;75764;75586;75196;73283;63693;68,8
"L4A17";88523;73261;72266;72184;67927;59665;67,4
"L4F18";89800;72072;71339;70959;66556;60848;67,8
"L4A18";81415;70277;69703;69434;66305;57421;70,5
"Q1A17";75250;63786;63114;62966;59485;51457;68,4
"Q1F18";90121;74928;74591;74565;69978;63885;70,9
"Q2A17";67839;57813;57136;56625;52124;46097;68
"Q2F18";95679;80596;80248;80086;78349;75980;79,4
"Q3A17";76328;59239;58506;58043;53167;47074;61,7
"Q3F18";98357;82563;82107;81471;79328;76093;77,4
"Q3A18";85076;72792;72344;71889;68486;59972;70,5
"Q4A17";74855;61440;60511;60313;55613;48924;65,4
"Q4F18";85955;71555;71322;70205;68297;66372;77,2
"Q4A18";78771;67314;67016;66666;64591;57585;73,1
"Qc1A17";54766;41009;39698;39690;33977;30707;56,1
"Qc2A17";79521;65489;64648;64368;58934;53587;67,4
"Z1A18";86165;73615;72765;72656;68262;56278;65,3
"Z2A18";86338;75365;74138;73943;67843;58960;68,3
"Z3A18";91630;77850;76792;76300;69907;55607;60,7
"Z4A18";89056;75348;74537;74278;70112;60307;67,7
"Z5A18";83499;71829;70866;70748;65738;55478;66,4
