"";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim"
"S01";96038;69746;71841;71636;67583;59929
"S02";87144;73752;73386;73019;69307;62302
"S03";73976;62237;61636;61542;55595;44678
"S04";70701;59514;60672;60665;58374;56629
"S05";79975;68308;67732;67260;63805;55163
"S06";83499;71829;71286;71203;66515;55411
"S07";86841;73343;74296;73995;72380;68856
"S08";93980;78103;77811;77508;75247;67628
"S09";85108;66518;65731;65141;57831;46347
"S10";80543;66985;68931;68884;65829;60706
"S11";75556;63822;63420;63207;60842;54353
"S12";74706;62777;61904;61854;56712;48928
"S13";73542;62173;61888;61800;56561;47326
"S14";71859;61955;61831;61667;58002;53942
"S15";86165;73615;73539;73446;68821;56131
"S16";75502;60307;60759;60654;55679;50368
"S17";81498;69824;69173;69058;65700;60296
"S18";89908;74920;74152;73701;69012;57050
"S19";76898;60071;61310;61428;57147;52245
"S20";87351;74445;73800;73284;68300;60902
"S21";89056;75348;75250;75097;70709;59862
"S22";73032;59050;61116;60835;57366;50300
"S23";90657;77590;76932;76321;70931;63649
"S24";91630;77850;77103;76750;70388;54924
"S25";85435;72558;72312;72208;66997;60386
"S26";89990;74731;74580;74372;70620;64931
"S27";93414;80311;79169;79021;73748;65730
"S28";75626;64261;63733;63868;60588;53950
"S29";86305;71514;72005;71868;68181;62879
"S30";94149;79320;78194;78283;71758;63117
"S31";86834;71724;71075;71138;66135;60603
"S32";92761;82718;82268;81973;79393;73749
"S33";86338;75365;74335;74004;68182;58262
"S34";76299;63872;63308;63315;56669;50828
"S35";87176;74163;74273;73994;71122;65367
"S36";86715;74371;73890;73661;69530;61820
"S39";75392;65662;65385;65271;62466;56132
"S40";87953;75596;74126;73811;66249;58396
"S41";71283;62109;61751;61498;58969;53005
"S42";85319;70485;70199;69918;67125;58853
"S43";91750;73002;72124;72014;69012;60645
"S46";87689;71058;70667;70468;64591;58697
"S47";80355;67241;67206;66850;55290;47959
"S48";87850;66727;66942;66582;63894;55798
"S49";85987;71335;70726;70507;60824;50918
"S50";102789;83448;83474;82867;78954;72731
"S51";71969;62391;62455;62105;60102;51984
"S52";71059;62342;61735;61595;55733;47746
"S53";86552;71131;70355;69781;64656;56052
"S54";92612;75764;75894;75572;74077;64388
"S55";88523;73261;73317;73248;63941;56307
"S56";89800;72072;71741;71475;66447;60083
"S57";81415;70277;69797;69758;66649;57326
"S58";75250;63786;63743;63653;59600;50781
"S59";90121;74928;76655;76621;74841;68076
"S60";67839;57813;57514;57127;51572;44510
"S61";95679;80596;81488;81322;79334;76721
"S62";76328;59239;59927;59574;54212;46606
"S63";98357;82563;83557;82849;80065;76773
"S64";85076;72792;72697;72233;69205;59396
"S65";74855;61440;61045;60870;55243;47431
"S66";85955;71555;72720;72470;70432;67660
"S67";78771;67314;67452;67209;65190;57800
