"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"C1A17";96038;69746;71841;71636;67583;59929;62,4
"C1F18";87144;73752;73386;73019;69307;62302;71,5
"C1A18";73976;62237;61636;61542;55595;44678;60,4
"C2A17";70701;59514;60672;60665;58374;56629;80,1
"C2F18";79975;68308;67732;67260;63805;55163;69
"C2A18";83499;71829;71286;71203;66515;55411;66,4
"C3A17";86841;73343;74296;73995;72380;68856;79,3
"C3F18";93980;78103;77811;77508;75247;67628;72
"C3A18";85108;66518;65731;65141;57831;46347;54,5
"C4A17";80543;66985;68931;68884;65829;60706;75,4
"C4F18";75556;63822;63420;63207;60842;54353;71,9
"C4A18";74706;62777;61904;61854;56712;48928;65,5
"F1A17";73542;62173;61888;61800;56561;47326;64,4
"F1F18";71859;61955;61831;61667;58002;53942;75,1
"F1A18";86165;73615;73539;73446;68821;56131;65,1
"F2A17";75502;60307;60759;60654;55679;50368;66,7
"F2F18";81498;69824;69173;69058;65700;60296;74
"F2A18";89908;74920;74152;73701;69012;57050;63,5
"F3A17";76898;60071;61310;61428;57147;52245;67,9
"F3F18";87351;74445;73800;73284;68300;60902;69,7
"F3A18";89056;75348;75250;75097;70709;59862;67,2
"F4A17";73032;59050;61116;60835;57366;50300;68,9
"F4F18";90657;77590;76932;76321;70931;63649;70,2
"F4A18";91630;77850;77103;76750;70388;54924;59,9
"H1A17";85435;72558;72312;72208;66997;60386;70,7
"H1F18";89990;74731;74580;74372;70620;64931;72,2
"H1A18";93414;80311;79169;79021;73748;65730;70,4
"H2A17";75626;64261;63733;63868;60588;53950;71,3
"H2F18";86305;71514;72005;71868;68181;62879;72,9
"H2A18";94149;79320;78194;78283;71758;63117;67
"H3A17";86834;71724;71075;71138;66135;60603;69,8
"H3F18";92761;82718;82268;81973;79393;73749;79,5
"H3A18";86338;75365;74335;74004;68182;58262;67,5
"H4A17";76299;63872;63308;63315;56669;50828;66,6
"H4F18";87176;74163;74273;73994;71122;65367;75
"H4A18";86715;74371;73890;73661;69530;61820;71,3
"P1F18";75392;65662;65385;65271;62466;56132;74,5
"P1A18";87953;75596;74126;73811;66249;58396;66,4
"P2F18";71283;62109;61751;61498;58969;53005;74,4
"P3F18";85319;70485;70199;69918;67125;58853;69
"P4F18";91750;73002;72124;72014;69012;60645;66,1
"L1A17";87689;71058;70667;70468;64591;58697;66,9
"L1F18";80355;67241;67206;66850;55290;47959;59,7
"L1A18";87850;66727;66942;66582;63894;55798;63,5
"L2A17";85987;71335;70726;70507;60824;50918;59,2
"L2F18";102789;83448;83474;82867;78954;72731;70,8
"L2A18";71969;62391;62455;62105;60102;51984;72,2
"L3A17";71059;62342;61735;61595;55733;47746;67,2
"L3F18";86552;71131;70355;69781;64656;56052;64,8
"L3A18";92612;75764;75894;75572;74077;64388;69,5
"L4A17";88523;73261;73317;73248;63941;56307;63,6
"L4F18";89800;72072;71741;71475;66447;60083;66,9
"L4A18";81415;70277;69797;69758;66649;57326;70,4
"Q1A17";75250;63786;63743;63653;59600;50781;67,5
"Q1F18";90121;74928;76655;76621;74841;68076;75,5
"Q2A17";67839;57813;57514;57127;51572;44510;65,6
"Q2F18";95679;80596;81488;81322;79334;76721;80,2
"Q3A17";76328;59239;59927;59574;54212;46606;61,1
"Q3F18";98357;82563;83557;82849;80065;76773;78,1
"Q3A18";85076;72792;72697;72233;69205;59396;69,8
"Q4A17";74855;61440;61045;60870;55243;47431;63,4
"Q4F18";85955;71555;72720;72470;70432;67660;78,7
"Q4A18";78771;67314;67452;67209;65190;57800;73,4
