"";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim"
"S01";96038;69746;69353;69282;66137;58163
"S02";87144;73752;72959;72345;68560;62094
"S03";73976;62237;61219;60999;55008;44513
"S04";70701;59514;59312;59132;57637;55846
"S05";79975;68308;67548;67049;63627;55814
"S06";83499;71829;70961;70673;65808;55099
"S07";86841;73343;73074;72769;71388;68743
"S08";93980;78103;77471;77135;74997;69274
"S09";85108;66518;65342;64767;57901;47459
"S10";80543;66985;66682;66499;63906;57476
"S11";75556;63822;63133;62795;60554;55177
"S12";74706;62777;61682;61568;56934;49197
"S13";73542;62173;61374;61153;56175;46938
"S14";71859;61955;61331;61030;57176;53213
"S15";86165;73615;72765;72624;68260;55628
"S16";75502;60307;59477;59270;55100;49830
"S17";81498;69824;68976;68753;65059;59675
"S18";89908;74920;73934;73340;68594;57035
"S19";76898;60071;59450;59506;55867;51012
"S20";87351;74445;73710;73014;68633;61286
"S21";89056;75348;74569;74467;70374;59757
"S22";73032;59050;58652;58458;55050;48490
"S23";90657;77590;76711;76241;71039;63647
"S24";91630;77850;76816;76459;70072;55315
"S25";85435;72558;71522;71310;67551;61182
"S26";89990;74731;73944;73695;70128;64655
"S27";93414;80311;79012;78788;73699;66031
"S28";75626;64261;63410;63398;60620;54122
"S29";86305;71514;70728;70787;66699;61805
"S30";94149;79320;77914;77609;71165;62924
"S31";86834;71724;70685;70586;66473;61169
"S32";92761;82718;82152;81754;79610;74147
"S33";86338;75365;74138;73663;67626;58238
"S34";76299;63872;62918;62976;59143;52844
"S35";87176;74163;73598;73256;70315;64950
"S36";86715;74371;73451;73225;69675;62325
"S39";75392;65662;65012;64826;62017;55691
"S40";87953;75596;73864;73543;67066;59464
"S41";71283;62109;61627;61303;58699;53007
"S42";85319;70485;70042;69734;66796;58551
"S43";91750;73002;72088;71866;68598;60446
"S44";75250;63786;63118;62961;59505;51397
"S45";90121;74928;74591;74524;69941;63747
"S46";67839;57813;57137;56513;52034;45736
"S47";95679;80596;80233;80092;78364;76011
"S48";76328;59239;58495;57939;53088;46594
"S49";98357;82563;82105;81469;79311;76199
"S50";85076;72792;72344;71887;68466;59483
"S51";74855;61440;60510;60336;55652;48709
"S52";85955;71555;71319;70112;68256;66413
"S53";78771;67314;67103;66750;64760;57527
"S54";87689;71058;70123;69843;65496;59623
"S55";80355;67241;66475;66138;62011;53916
"S56";87850;66727;66526;66159;63068;54623
"S57";85987;71335;70461;70099;65757;55419
"S58";102789;83448;82859;82320;78100;71888
"S59";71969;62391;61953;61782;59666;51904
"S60";71059;62342;61580;61500;57469;49517
"S61";86552;71131;69752;69194;64468;55867
"S62";92612;75764;75586;75218;73313;63660
"S63";88523;73261;72264;72211;67977;59672
"S64";89800;72072;71329;70979;66577;60272
"S65";81415;70277;69695;69472;66391;57140
