"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"C1A17";96038;69746;69353;69282;66137;58163;60,6
"C1F18";87144;73752;72959;72345;68560;62094;71,3
"C1A18";73976;62237;61219;60999;55008;44513;60,2
"C2A17";70701;59514;59312;59132;57637;55846;79
"C2F18";79975;68308;67548;67049;63627;55814;69,8
"C2A18";83499;71829;70961;70673;65808;55099;66
"C3A17";86841;73343;73074;72769;71388;68743;79,2
"C3F18";93980;78103;77471;77135;74997;69274;73,7
"C3A18";85108;66518;65342;64767;57901;47459;55,8
"C4A17";80543;66985;66682;66499;63906;57476;71,4
"C4F18";75556;63822;63133;62795;60554;55177;73
"C4A18";74706;62777;61682;61568;56934;49197;65,9
"F1A17";73542;62173;61374;61153;56175;46938;63,8
"F1F18";71859;61955;61331;61030;57176;53213;74,1
"F1A18";86165;73615;72765;72624;68260;55628;64,6
"F2A17";75502;60307;59477;59270;55100;49830;66
"F2F18";81498;69824;68976;68753;65059;59675;73,2
"F2A18";89908;74920;73934;73340;68594;57035;63,4
"F3A17";76898;60071;59450;59506;55867;51012;66,3
"F3F18";87351;74445;73710;73014;68633;61286;70,2
"F3A18";89056;75348;74569;74467;70374;59757;67,1
"F4A17";73032;59050;58652;58458;55050;48490;66,4
"F4F18";90657;77590;76711;76241;71039;63647;70,2
"F4A18";91630;77850;76816;76459;70072;55315;60,4
"H1A17";85435;72558;71522;71310;67551;61182;71,6
"H1F18";89990;74731;73944;73695;70128;64655;71,8
"H1A18";93414;80311;79012;78788;73699;66031;70,7
"H2A17";75626;64261;63410;63398;60620;54122;71,6
"H2F18";86305;71514;70728;70787;66699;61805;71,6
"H2A18";94149;79320;77914;77609;71165;62924;66,8
"H3A17";86834;71724;70685;70586;66473;61169;70,4
"H3F18";92761;82718;82152;81754;79610;74147;79,9
"H3A18";86338;75365;74138;73663;67626;58238;67,5
"H4A17";76299;63872;62918;62976;59143;52844;69,3
"H4F18";87176;74163;73598;73256;70315;64950;74,5
"H4A18";86715;74371;73451;73225;69675;62325;71,9
"P1F18";75392;65662;65012;64826;62017;55691;73,9
"P1A18";87953;75596;73864;73543;67066;59464;67,6
"P2F18";71283;62109;61627;61303;58699;53007;74,4
"P3F18";85319;70485;70042;69734;66796;58551;68,6
"P4F18";91750;73002;72088;71866;68598;60446;65,9
"Q1A17";75250;63786;63118;62961;59505;51397;68,3
"Q1F18";90121;74928;74591;74524;69941;63747;70,7
"Q2A17";67839;57813;57137;56513;52034;45736;67,4
"Q2F18";95679;80596;80233;80092;78364;76011;79,4
"Q3A17";76328;59239;58495;57939;53088;46594;61
"Q3F18";98357;82563;82105;81469;79311;76199;77,5
"Q3A18";85076;72792;72344;71887;68466;59483;69,9
"Q4A17";74855;61440;60510;60336;55652;48709;65,1
"Q4F18";85955;71555;71319;70112;68256;66413;77,3
"Q4A18";78771;67314;67103;66750;64760;57527;73
"L1A17";87689;71058;70123;69843;65496;59623;68
"L1F18";80355;67241;66475;66138;62011;53916;67,1
"L1A18";87850;66727;66526;66159;63068;54623;62,2
"L2A17";85987;71335;70461;70099;65757;55419;64,5
"L2F18";102789;83448;82859;82320;78100;71888;69,9
"L2A18";71969;62391;61953;61782;59666;51904;72,1
"L3A17";71059;62342;61580;61500;57469;49517;69,7
"L3F18";86552;71131;69752;69194;64468;55867;64,5
"L3A18";92612;75764;75586;75218;73313;63660;68,7
"L4A17";88523;73261;72264;72211;67977;59672;67,4
"L4F18";89800;72072;71329;70979;66577;60272;67,1
"L4A18";81415;70277;69695;69472;66391;57140;70,2
