"colMeans..t.."	"Node"	"Node_category"
"ASV0001"	0.122425067160915	"ASV0001"	"Shared"
"ASV0003"	0.0948117388906821	"ASV0003"	"Shared"
"ASV0006"	0.0861902065955055	"ASV0006"	"Shared"
"ASV0008"	0.0537242835144381	"ASV0008"	"Shared"
"ASV0013"	0.0239409777323534	"ASV0013"	"Shared"
"ASV0016"	0.0188743761514073	"ASV0016"	"Shared"
"ASV0017"	0.0173100130094743	"ASV0017"	"Shared"
"ASV0021"	0.0164096590029908	"ASV0021"	"Shared"
"ASV0023"	0.012559386100045	"ASV0023"	"Shared"
"ASV0025"	0.0180902321227335	"ASV0025"	"Shared"
"ASV0028"	0.000453447658386193	"ASV0028"	"Other"
"ASV0029"	0.0125875883041055	"ASV0029"	"Shared"
"ASV0030"	1.64217094999589e-05	"ASV0030"	"Shared"
"ASV0031"	0.026310696884406	"ASV0031"	"Other"
"ASV0032"	0.00757865365442526	"ASV0032"	"Shared"
"ASV0034"	0.0121641640867023	"ASV0034"	"Shared"
"ASV0035"	0.00977937347171606	"ASV0035"	"Shared"
"ASV0036"	0.00596427350095025	"ASV0036"	"Shared"
"ASV0037"	0.0150381809212671	"ASV0037"	"Shared"
"ASV0038"	0.00854133373709226	"ASV0038"	"Shared"
"ASV0039"	0.0134687189772338	"ASV0039"	"Shared"
"ASV0040"	9.93740958524609e-05	"ASV0040"	"Other"
"ASV0041"	0.00554321947880626	"ASV0041"	"Shared"
"ASV0042"	0.0199759612726923	"ASV0042"	"Shared"
"ASV0044"	0.00524300258457693	"ASV0044"	"Shared"
"ASV0045"	2.46325642499384e-05	"ASV0045"	"Shared"
"ASV0046"	0.0183464998218158	"ASV0046"	"Other"
"ASV0048"	0.00715652378014081	"ASV0048"	"Shared"
"ASV0050"	0.00404316342150846	"ASV0050"	"Shared"
"ASV0051"	0.00120037047647436	"ASV0051"	"Shared"
"ASV0053"	0.00413547311885145	"ASV0053"	"Shared"
"ASV0056"	0.00662141038755275	"ASV0056"	"Shared"
"ASV0063"	0.00302831529204568	"ASV0063"	"Shared"
"ASV0064"	0.00545785453398971	"ASV0064"	"Shared"
"ASV0066"	0.000846264104501993	"ASV0066"	"Shared"
"ASV0071"	0.000639587374431437	"ASV0071"	"Shared"
"ASV0072"	0.00612043505192158	"ASV0072"	"Shared"
"ASV0073"	0.00491140095807546	"ASV0073"	"Shared"
"ASV0075"	0.011582425927122	"ASV0075"	"Other"
"ASV0077"	0.00328858726150957	"ASV0077"	"Shared"
"ASV0079"	2.46325642499384e-05	"ASV0079"	"Other"
"ASV0082"	0.00102089045881342	"ASV0082"	"Shared"
"ASV0083"	0.00549050071264635	"ASV0083"	"Shared"
"ASV0085"	0.0034775444608029	"ASV0085"	"Shared"
"ASV0086"	0.0182882561353776	"ASV0086"	"Shared"
"ASV0089"	0.000701301563270797	"ASV0089"	"Shared"
"ASV0090"	0.000750136554144109	"ASV0090"	"Other"
"ASV0096"	6.44163875289874e-05	"ASV0096"	"Other"
"ASV0097"	0.00242502842645459	"ASV0097"	"Shared"
"ASV0098"	8.28130972098356e-05	"ASV0098"	"Other"
"ASV0100"	0.000519253659351167	"ASV0100"	"Other"
"ASV0101"	0.00121776516108297	"ASV0101"	"Shared"
"ASV0102"	0.00284462624981529	"ASV0102"	"Shared"
"ASV0104"	0.00471983525563029	"ASV0104"	"Shared"
"ASV0107"	0.00229722684746739	"ASV0107"	"Shared"
"ASV0120"	0.00242744786502949	"ASV0120"	"Shared"
"ASV0121"	0.00226616647138018	"ASV0121"	"Shared"
"ASV0126"	0.000204335135900466	"ASV0126"	"Other"
"ASV0127"	0.00181983699111085	"ASV0127"	"Shared"
"ASV0129"	0.0137875479386752	"ASV0129"	"Other"
"ASV0131"	0.00025766555011595	"ASV0131"	"Other"
"ASV0133"	0.00101964111451198	"ASV0133"	"Shared"
"ASV0136"	0.0135306448514222	"ASV0136"	"Shared"
"ASV0137"	0.0199195336234502	"ASV0137"	"Other"
"ASV0142"	0.00370054509620377	"ASV0142"	"Shared"
"ASV0143"	0.01200426964447	"ASV0143"	"Shared"
"ASV0145"	0.000990772892553961	"ASV0145"	"Shared"
"ASV0147"	0.00309600543369675	"ASV0147"	"Shared"
"ASV0186"	0.000525494703998686	"ASV0186"	"Other"
"ASV0189"	0.00136110169349309	"ASV0189"	"Shared"
"ASV0196"	0.0146974300024633	"ASV0196"	"Other"
"ASV0202"	0.00031201248049922	"ASV0202"	"Other"
"ASV0206"	0.00247435716935364	"ASV0206"	"Shared"
"ASV0211"	0.00143467682487791	"ASV0211"	"Shared"
"ASV0214"	0.013203054437967	"ASV0214"	"Other"
"ASV0220"	0.000834693364137826	"ASV0220"	"Other"
"ASV0222"	0.000108688702768365	"ASV0222"	"Other"
"ASV0223"	0.000638774018735643	"ASV0223"	"Shared"
"ASV0240"	0.00789063141473027	"ASV0240"	"Other"
"ASV0250"	0.00758682978898103	"ASV0250"	"Other"
"ASV0258"	0.000821085474997947	"ASV0258"	"Other"
"ASV0261"	0.00117262569506599	"ASV0261"	"Shared"
"ASV0270"	0.000452301560958912	"ASV0270"	"Shared"
"ASV0273"	0.00256327956544388	"ASV0273"	"Shared"
"ASV0277"	0.00272831589050218	"ASV0277"	"Shared"
"ASV0278"	0.000945873540665549	"ASV0278"	"Shared"
"ASV0294"	0.000106741111749733	"ASV0294"	"Other"
"ASV0308"	0.000238114787749405	"ASV0308"	"Other"
"ASV0312"	0.00295590770999261	"ASV0312"	"Shared"
"ASV0332"	0.000134654745233222	"ASV0332"	"Shared"
"ASV0344"	0.0111667624599721	"ASV0344"	"Unique"
"ASV0348"	0.00802200509072994	"ASV0348"	"Other"
"ASV0354"	0.00254505792869476	"ASV0354"	"Other"
"ASV0356"	0.000590203294113811	"ASV0356"	"Shared"
"ASV0371"	0.00204214621923167	"ASV0371"	"Other"
"ASV0381"	0.00171201485558196	"ASV0381"	"Shared"
"ASV0386"	0.000591181541998522	"ASV0386"	"Other"
"ASV0387"	0.00224275820359898	"ASV0387"	"Other"
"ASV0395"	0.00154850296546328	"ASV0395"	"Shared"
"ASV0398"	0.00201987026849495	"ASV0398"	"Other"
"ASV0402"	0.000796034345409171	"ASV0402"	"Shared"
"ASV0405"	0.00212661138024468	"ASV0405"	"Other"
"ASV0418"	4.92651284998768e-05	"ASV0418"	"Other"
"ASV0424"	0.000553980932749291	"ASV0424"	"Other"
"ASV0426"	0.000328434189999179	"ASV0426"	"Shared"
"ASV0434"	0.000350242089308467	"ASV0434"	"Other"
"ASV0436"	0.00208036401555872	"ASV0436"	"Other"
"ASV0442"	0.00059621638378005	"ASV0442"	"Shared"
"ASV0443"	8.21085474997947e-05	"ASV0443"	"Other"
"ASV0451"	0.00797273996223007	"ASV0451"	"Unique"
"ASV0452"	0.000385910173249035	"ASV0452"	"Other"
"ASV0456"	0.000550127268248625	"ASV0456"	"Shared"
"ASV0460"	0.000558338122998604	"ASV0460"	"Shared"
"ASV0464"	0.00102304718237331	"ASV0464"	"Shared"
"ASV0475"	0.000476817727423698	"ASV0475"	"Other"
"ASV0478"	0.001283933308186	"ASV0478"	"Other"
"ASV0482"	0.000303801625749241	"ASV0482"	"Other"
"ASV0497"	0.000377699318499056	"ASV0497"	"Shared"
"ASV0507"	0.000191803593120644	"ASV0507"	"Other"
"ASV0512"	0.00115308600653864	"ASV0512"	"Shared"
"ASV0525"	7.38976927498152e-05	"ASV0525"	"Other"
"ASV0558"	0.000125282698970902	"ASV0558"	"Other"
"ASV0561"	0.000383607186241289	"ASV0561"	"Other"
"ASV0564"	0.000644526393432222	"ASV0564"	"Shared"
"ASV0569"	0.000287379916249282	"ASV0569"	"Shared"
"ASV0600"	0.0018230582297637	"ASV0600"	"Other"
"ASV0612"	0.000212574078845658	"ASV0612"	"Other"
"ASV0618"	0.000666403329587508	"ASV0618"	"Other"
"ASV0624"	0.00126447163149684	"ASV0624"	"Other"
"ASV0634"	0.000418598192212669	"ASV0634"	"Shared"
"ASV0640"	0.000788242055998029	"ASV0640"	"Other"
"ASV0647"	0.000173924246328266	"ASV0647"	"Shared"
"ASV0661"	2.46325642499384e-05	"ASV0661"	"Other"
"ASV0675"	0.000541916413498645	"ASV0675"	"Shared"
"ASV0680"	0.000312643450715782	"ASV0680"	"Shared"
"ASV0689"	0.00200264408253841	"ASV0689"	"Other"
"ASV0691"	0.00045980786599885	"ASV0691"	"Other"
"ASV0709"	0.000213482223499466	"ASV0709"	"Other"
"ASV0711"	0.000436315240884899	"ASV0711"	"Shared"
"ASV0717"	0.000167482607575367	"ASV0717"	"Other"
"ASV0723"	0.000306258947851033	"ASV0723"	"Shared"
"ASV0724"	0.000824057073173507	"ASV0724"	"Other"
"ASV0727"	0.000312006778892304	"ASV0727"	"Other"
"ASV0728"	0.000100166404724058	"ASV0728"	"Other"
"ASV0734"	0.000541916413498645	"ASV0734"	"Other"
"ASV0737"	4.92651284998768e-05	"ASV0737"	"Other"
"ASV0738"	0.000111295786872658	"ASV0738"	"Other"
"ASV0739"	0.00015600624024961	"ASV0739"	"Other"
"ASV0741"	7.38976927498152e-05	"ASV0741"	"Other"
"ASV0746"	0.000665079234748337	"ASV0746"	"Other"
"ASV0768"	0.000108294050197477	"ASV0768"	"Shared"
"ASV0769"	0.000197477385654223	"ASV0769"	"Other"
"ASV0789"	0.000414736615318324	"ASV0789"	"Other"
"ASV0791"	0.000361277608999097	"ASV0791"	"Other"
"ASV0811"	9.03194022497742e-05	"ASV0811"	"Shared"
"ASV0817"	0.000139584530749651	"ASV0817"	"Other"
"ASV0826"	0.0001230263615405	"ASV0826"	"Other"
"ASV0829"	0.000296315382633342	"ASV0829"	"Other"
"ASV0832"	0.000398652989010591	"ASV0832"	"Other"
"ASV0833"	0.000426964446998933	"ASV0833"	"Shared"
"ASV0835"	0.000377033286653022	"ASV0835"	"Other"
"ASV0837"	0.000167482607575367	"ASV0837"	"Shared"
"ASV0863"	0.000492651284998768	"ASV0863"	"Other"
"ASV0866"	0.000558141726226698	"ASV0866"	"Shared"
"ASV0868"	8.21085474997947e-05	"ASV0868"	"Other"
"ASV0876"	1.61585694279866e-05	"ASV0876"	"Other"
"ASV0877"	0.000353066754249117	"ASV0877"	"Other"
"ASV0884"	0.000106741111749733	"ASV0884"	"Shared"
"ASV0889"	0.000188849659249528	"ASV0889"	"Other"
"ASV0891"	1.64217094999589e-05	"ASV0891"	"Other"
"ASV0894"	0.000254536497249364	"ASV0894"	"Other"
"ASV0905"	0.000369488463749076	"ASV0905"	"Other"
"ASV0906"	3.23171388559733e-05	"ASV0906"	"Shared"
