"From"	"to"	"rValue"	"pValue"
"ASV0001"	"ASV0003"	0.984806980761705	4.6183275244195e-06
"ASV0001"	"ASV0006"	0.984806980761705	4.6183275244195e-06
"ASV0001"	"ASV0008"	1	2.15077351806617e-61
"ASV0001"	"ASV0016"	0.898646375530978	0.00765468198265775
"ASV0001"	"ASV0029"	0.846925720824159	0.0354797992825136
"ASV0001"	"ASV0035"	0.843373856174983	0.0386512544645528
"ASV0001"	"ASV0036"	0.937958099221084	0.00114520879472276
"ASV0001"	"ASV0037"	0.872786048177568	0.0183063308829223
"ASV0001"	"ASV0039"	0.873969589758616	0.0176678613813949
"ASV0001"	"ASV0042"	0.833002265238681	0.048112542821541
"ASV0001"	"ASV0050"	0.937958099221084	0.00114520879472276
"ASV0001"	"ASV0053"	0.90043977525224	0.00717546291898719
"ASV0001"	"ASV0145"	0.873969589758616	0.0176678613813949
"ASV0003"	"ASV0001"	0.984806980761705	2.28883448548244e-07
"ASV0003"	"ASV0008"	0.984806980761705	4.6183275244195e-06
"ASV0003"	"ASV0016"	0.90138198726391	0.00691717075913588
"ASV0003"	"ASV0036"	0.972173827676672	4.87227420904819e-05
"ASV0003"	"ASV0037"	0.836534362280895	0.0444310555195337
"ASV0003"	"ASV0039"	0.87663008172639	0.0162866879878667
"ASV0003"	"ASV0042"	0.835538046645466	0.0454536771195036
"ASV0003"	"ASV0050"	0.972173827676672	4.87227420904819e-05
"ASV0003"	"ASV0053"	0.947085470833404	0.000615285221038099
"ASV0003"	"ASV0145"	0.87663008172639	0.0162866879878667
"ASV0006"	"ASV0001"	0.984806980761705	2.28883448548244e-07
"ASV0006"	"ASV0008"	0.984806980761705	4.6183275244195e-06
"ASV0006"	"ASV0016"	0.90138198726391	0.00691717075913588
"ASV0006"	"ASV0036"	0.972173827676672	4.87227420904819e-05
"ASV0006"	"ASV0037"	0.836534362280895	0.0444310555195337
"ASV0006"	"ASV0039"	0.87663008172639	0.0162866879878667
"ASV0006"	"ASV0042"	0.835538046645466	0.0454536771195036
"ASV0006"	"ASV0050"	0.972173827676672	4.87227420904819e-05
"ASV0006"	"ASV0053"	0.947085470833404	0.000615285221038099
"ASV0006"	"ASV0145"	0.87663008172639	0.0162866879878667
"ASV0008"	"ASV0001"	1	1.0635035875251e-62
"ASV0008"	"ASV0003"	0.984806980761705	2.28883448548244e-07
"ASV0008"	"ASV0006"	0.984806980761705	2.28883448548244e-07
"ASV0008"	"ASV0016"	0.898646375530978	0.00765468198265775
"ASV0008"	"ASV0029"	0.846925720824159	0.0354797992825136
"ASV0008"	"ASV0035"	0.843373856174983	0.0386512544645528
"ASV0008"	"ASV0036"	0.937958099221084	0.00114520879472276
"ASV0008"	"ASV0037"	0.872786048177568	0.0183063308829223
"ASV0008"	"ASV0039"	0.873969589758616	0.0176678613813949
"ASV0008"	"ASV0042"	0.833002265238681	0.048112542821541
"ASV0008"	"ASV0050"	0.937958099221084	0.00114520879472276
"ASV0008"	"ASV0053"	0.90043977525224	0.00717546291898719
"ASV0008"	"ASV0145"	0.873969589758616	0.0176678613813949
"ASV0013"	"ASV0001"	0.790277206784084	0.00651422358724081
"ASV0013"	"ASV0003"	0.704268292682927	0.0229894377325423
"ASV0013"	"ASV0006"	0.704268292682927	0.0229894377325423
"ASV0013"	"ASV0008"	0.790277206784084	0.00651422358724081
"ASV0013"	"ASV0029"	0.888412462267307	0.0110918628111051
"ASV0013"	"ASV0034"	0.90138198726391	0.00691717075913588
"ASV0013"	"ASV0035"	0.897999130859485	0.00784497564138554
"ASV0013"	"ASV0038"	0.90138198726391	0.00691717075913588
"ASV0013"	"ASV0402"	0.888412462267307	0.0110918628111051
"ASV0013"	"ASV0866"	0.835538046645466	0.0454536771195036
"ASV0013"	"ASV1138"	0.849235391672441	0.0337097207624613
"ASV0013"	"ASV2130"	0.87663008172639	0.0162866879878667
"ASV0016"	"ASV0001"	0.898646375530978	0.000407859941974672
"ASV0016"	"ASV0003"	0.90138198726391	0.000366824706507238
"ASV0016"	"ASV0006"	0.90138198726391	0.000366824706507238
"ASV0016"	"ASV0008"	0.898646375530978	0.000407859941974672
"ASV0016"	"ASV0013"	0.745747687304674	0.0132739889652946
"ASV0016"	"ASV0029"	0.862068965517241	0.0242222936143503
"ASV0016"	"ASV0034"	0.875862068965517	0.0166766055385712
"ASV0016"	"ASV0036"	0.927181910891448	0.00214218495181085
"ASV0016"	"ASV0038"	0.875862068965517	0.0166766055385712
"ASV0016"	"ASV0050"	0.927181910891448	0.00214218495181085
"ASV0016"	"ASV0053"	0.847137429375639	0.0353001572828879
"ASV0016"	"ASV0097"	0.867020263852601	0.0216475945741953
"ASV0016"	"ASV0107"	0.851111635158058	0.0321484480331718
"ASV0016"	"ASV0142"	0.851111635158058	0.0321484480331718
"ASV0016"	"ASV0147"	0.851111635158058	0.0321484480331718
"ASV0016"	"ASV0402"	0.862068965517241	0.0242222936143503
"ASV0017"	"ASV0001"	0.711249486105676	0.0210909259855488
"ASV0017"	"ASV0003"	0.786585365853659	0.00695172951769468
"ASV0017"	"ASV0006"	0.786585365853659	0.00695172951769468
"ASV0017"	"ASV0008"	0.711249486105676	0.0210909259855488
"ASV0017"	"ASV0016"	0.784656262294483	0.00718844405333819
"ASV0017"	"ASV0036"	0.859276221881962	0.0260402409517227
"ASV0017"	"ASV0041"	0.838909650278489	0.0420784774719354
"ASV0017"	"ASV0050"	0.859276221881962	0.0260402409517227
"ASV0017"	"ASV0053"	0.859276221881962	0.0260402409517227
"ASV0020"	"ASV0028"	0.948016665352158	0.000573874511713114
"ASV0021"	"ASV0001"	0.631949412714044	0.0499750874113387
"ASV0021"	"ASV0003"	0.658489593053661	0.0384234018780644
"ASV0021"	"ASV0006"	0.658489593053661	0.0384234018780644
"ASV0021"	"ASV0008"	0.631949412714044	0.0499750874113387
"ASV0021"	"ASV0017"	0.812342301711058	0.0042967432854732
"ASV0021"	"ASV0023"	0.987577639751553	2.0727706837704e-06
"ASV0021"	"ASV0030"	-0.96004090202216	0.000203974825677375
"ASV0021"	"ASV0040"	-0.919770610032235	0.00312255107510226
"ASV0021"	"ASV0045"	-0.863354037267081	0.0238812008462019
"ASV0021"	"ASV0079"	-0.863354037267081	0.0238812008462019
"ASV0021"	"ASV0189"	-0.892565971356629	0.00958861665228047
"ASV0023"	"ASV0001"	0.644220275096841	0.044381366311308
"ASV0023"	"ASV0003"	0.670797809746253	0.0337386104218673
"ASV0023"	"ASV0006"	0.670797809746253	0.0337386104218673
"ASV0023"	"ASV0008"	0.644220275096841	0.044381366311308
"ASV0023"	"ASV0017"	0.787725868325875	0.00681441386927324
"ASV0023"	"ASV0021"	0.987577639751553	1.02637436701574e-07
"ASV0023"	"ASV0030"	-0.923116251944384	0.0026450950452868
"ASV0023"	"ASV0040"	-0.870386953117752	0.0196398640861193
"ASV0023"	"ASV0045"	-0.850931677018634	0.0322905764684172
"ASV0023"	"ASV0079"	-0.850931677018634	0.0322905764684172
"ASV0023"	"ASV0189"	-0.848254185544598	0.03435147159559
"ASV0025"	"ASV0001"	0.73011631177642	0.0165062454981005
"ASV0025"	"ASV0003"	0.756955326594395	0.0112487759163769
"ASV0025"	"ASV0006"	0.756955326594395	0.0112487759163769
"ASV0025"	"ASV0008"	0.73011631177642	0.0165062454981005
"ASV0025"	"ASV0039"	0.884759746420894	0.0125456741103338
