"";"ASV_1";"ASV_3";"ASV_6";"ASV_8";"ASV_13";"ASV_16";"ASV_17";"ASV_21";"ASV_23";"ASV_25";"ASV_29";"ASV_30";"ASV_32";"ASV_34";"ASV_35";"ASV_36";"ASV_37";"ASV_38";"ASV_39";"ASV_41";"ASV_42";"ASV_44";"ASV_45";"ASV_48";"ASV_50";"ASV_51";"ASV_53";"ASV_56";"ASV_63";"ASV_64";"ASV_66";"ASV_71";"ASV_72";"ASV_73";"ASV_77";"ASV_82";"ASV_83";"ASV_85";"ASV_86";"ASV_89";"ASV_97";"ASV_101";"ASV_102";"ASV_104";"ASV_107";"ASV_120";"ASV_121";"ASV_127";"ASV_133";"ASV_136";"ASV_142";"ASV_143";"ASV_145";"ASV_147";"ASV_189";"ASV_206";"ASV_211";"ASV_223";"ASV_261";"ASV_270";"ASV_273";"ASV_277";"ASV_278";"ASV_312";"ASV_332";"ASV_356";"ASV_381";"ASV_395";"ASV_402";"ASV_426";"ASV_442";"ASV_456";"ASV_460";"ASV_464";"ASV_497";"ASV_512";"ASV_564";"ASV_569";"ASV_634";"ASV_647";"ASV_675";"ASV_680";"ASV_711";"ASV_723";"ASV_768";"ASV_811";"ASV_833";"ASV_837";"ASV_866";"ASV_884";"ASV_906";"ASV_919";"ASV_1080";"ASV_1113";"ASV_1188";"ASV_1189";"ASV_1269";"ASV_1286";"ASV_1333";"ASV_1401";"ASV_1402";"ASV_1461";"ASV_1504";"ASV_1589";"ASV_1795";"ASV_1965";"ASV_2582";"ASV_3699"
"C1A17";0;0;0;0;0;0;0;298;0;0;239;85;0;239;0;0;0;0;24;0;0;0;56;0;0;2517;0;0;0;0;0;1911;0;0;0;1868;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0
"C1F18";3177;2499;2309;1526;210;194;155;470;58;0;344;220;92;309;42;132;0;66;0;0;0;83;144;232;121;121;80;40;82;168;0;111;39;159;890;105;36;78;154;0;61;6;77;90;41;62;724;644;7;0;67;0;6;51;0;224;9;4;5;51;0;65;3;19;0;0;154;140;3;27;0;41;0;60;0;36;10;0;9;0;0;0;13;17;34;0;0;0;14;0;0;11;5;2;0;32;0;0;25;16;13;0;14;5;0;0;9;0
"C1A18";3735;2793;2616;1739;590;494;417;48;99;88;37;0;258;19;84;155;0;73;0;184;0;161;0;331;133;74;94;767;100;302;0;51;564;273;0;53;539;458;0;0;84;373;384;98;117;333;0;0;271;0;88;27;266;86;0;34;167;183;105;39;0;57;120;0;67;24;0;0;71;0;0;28;0;0;0;0;32;0;37;0;0;40;18;34;8;0;0;0;1;0;34;0;0;3;0;3;0;0;0;0;0;14;2;2;0;0;0;0
"C2A17";0;0;0;0;0;0;0;0;0;35;0;27;0;27;0;0;0;0;0;0;0;0;0;0;0;91;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";503;391;370;258;51;43;46;62;8;0;49;582;63;101;3;0;0;6;0;45;0;42;395;70;0;101;0;21;110;40;0;72;28;43;334;75;24;14;64;23;86;1;19;38;72;9;300;241;2;0;28;0;4;54;0;116;0;2;0;0;0;16;0;49;29;0;0;0;0;0;103;45;0;0;0;0;0;0;0;0;0;0;0;25;68;40;17;0;5;18;0;13;2;7;0;54;6;0;47;0;6;0;41;0;0;12;4;8
"C2A18";2649;1896;1793;1193;396;318;262;41;85;112;22;16;159;16;45;93;0;58;0;108;0;101;0;674;70;37;70;432;85;477;0;61;348;522;89;28;304;1187;0;0;68;210;872;75;76;884;0;0;185;0;67;64;173;63;0;12;99;109;68;46;19;107;68;13;0;0;11;0;34;0;0;0;62;0;0;0;49;0;59;0;10;15;51;0;10;0;0;0;0;0;0;0;0;0;0;3;0;8;5;4;0;0;5;0;0;0;0;0
"C3A17";0;0;0;0;0;0;0;0;0;33;0;1794;0;42;0;0;58;0;31;0;30;0;1347;0;0;46;0;0;0;0;0;0;0;0;113;0;0;0;0;0;0;0;49;0;0;0;66;63;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"C3F18";51;0;35;0;0;0;0;131;4;0;90;5262;0;93;1;0;0;2;0;22;0;0;3721;98;0;273;0;8;149;0;0;193;0;0;181;208;0;0;81;0;0;13;0;9;0;0;164;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;26;0;106;20;0;0;0;0;0;0;37;0;0;20;10;0;0;0;11;0;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"C3A18";709;596;533;319;477;414;408;77;181;0;67;0;108;66;120;20;0;119;49;83;0;63;60;187;22;141;18;612;147;131;0;114;474;124;34;122;407;165;0;4;115;516;183;176;83;138;0;0;382;41;135;257;404;130;71;77;186;264;193;32;77;22;158;0;0;0;0;0;86;16;0;0;0;0;30;0;19;0;18;0;0;49;12;0;2;10;4;33;0;40;125;27;0;0;2;2;11;0;1;3;0;9;1;0;10;0;0;0
"C4A17";0;0;26;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;42;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
