"";"ASV0412";"ASV0644";"ASV1424";"ASV1517";"ASV1584";"ASV1609";"ASV1654";"ASV1782";"ASV1792";"ASV1913";"ASV2067";"ASV2151";"ASV2159";"ASV2173";"ASV2292";"ASV2335";"ASV2364";"ASV2499";"ASV2525";"ASV2567";"ASV2690";"ASV2694";"ASV2788";"ASV2858";"ASV2927";"ASV2933";"ASV2961";"ASV3068";"ASV3100";"ASV3106";"ASV3135";"ASV3141";"ASV3173";"ASV3239";"ASV3240";"ASV3294";"ASV3297";"ASV3332";"ASV3338";"ASV3368";"ASV3400";"ASV3405";"ASV3445";"ASV3446";"ASV3484";"ASV3522";"ASV3523";"ASV3555";"ASV3602";"ASV3633";"ASV3691";"ASV3698";"ASV3700";"ASV3703";"ASV3743";"ASV3797";"ASV3802";"ASV3843";"ASV3845";"ASV3847";"ASV3852";"ASV3856";"ASV3857";"ASV3901";"ASV3914";"ASV3919";"ASV3974";"ASV3980";"ASV4111";"ASV4124";"ASV4167";"ASV4172";"ASV4174";"ASV4257";"ASV4328";"ASV4335";"ASV4340";"ASV4341";"ASV4423";"ASV4513";"ASV4524";"ASV4605";"ASV4611";"ASV4689";"ASV4693";"ASV4699";"ASV4704";"ASV4709";"ASV4784";"ASV4786";"ASV4799";"ASV4803";"ASV4917";"ASV4921";"ASV4931";"ASV5039";"ASV5041";"ASV5049";"ASV5054";"ASV5055";"ASV5063";"ASV5180";"ASV5186";"ASV5191";"ASV5192";"ASV5195";"ASV5196";"ASV5333";"ASV5464";"ASV5468";"ASV5474";"ASV5475";"ASV5484";"ASV5625";"ASV5650";"ASV5654";"ASV5798";"ASV5799";"ASV5806";"ASV5808";"ASV5815";"ASV5974";"ASV5987";"ASV5992";"ASV5996";"ASV5997";"ASV5999";"ASV6000";"ASV6007"
"C1A17";0;0;0;0;0;0;65;0;81;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;55;0;0;0;49;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;33;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1F18";0;97;0;0;55;18;0;0;5;0;0;34;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;11;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;19;19;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1A18";0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;19;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;27;0;0;0;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0
"C2A17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";288;35;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;41;26;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A18";0;0;0;0;0;0;0;38;0;0;53;0;21;18;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;20;0;0;0;14;0;0;0;0;0;0;4;0;31;0;0;0;30;0;14;0;0;0;0;0;0;0;18;24;0;0;0;0;0;0;0;5;20;0;0;0;0;0;0;0;18;0;0;0;0;0;17;17;0;0;13;0;0;0;0;15;14;0;0;0;0;0;0;0;12;12;0;0;0;0;11;0;0;0;0;0;0
"C3A17";61;0;29;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;1;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";454;271;116;0;55;27;0;0;33;0;0;25;0;0;19;0;0;0;0;0;22;0;0;58;0;55;0;8;0;0;0;0;47;45;0;18;0;22;43;16;41;0;30;0;0;0;38;0;0;0;0;0;34;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0
"C3A18";0;0;0;122;0;0;0;31;0;69;49;0;42;32;41;7;0;0;47;0;0;16;0;0;0;0;28;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;31;0;0;30;15;0;0;0;0;26;0;25;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;19;0;0;0;0;0;0;0;0;0;17;0;0;0;0;9;0;0;0;0;14;14;0;0;13;0;0;0;12;12;0;0;0;0;0;11;11;11;0
"C4A17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4F18";284;204;42;0;48;51;0;0;10;0;0;36;0;0;0;60;47;33;0;0;12;0;0;0;0;0;0;14;0;18;0;0;0;0;0;26;44;18;0;26;0;41;0;0;39;0;0;0;0;0;0;0;0;34;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;12;17;0;0;22;0;21;0;0;0;20;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;11
"C4A18";0;0;0;47;0;0;0;0;0;47;0;0;32;44;0;17;0;0;0;71;0;21;61;0;0;0;26;0;0;31;0;48;0;0;0;0;0;0;0;0;0;0;10;15;0;0;0;0;36;16;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;29;0;4;0;0;26;0;0;0;0;0;0;0;0;0;0;11;0;0;0;20;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;14;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
