"";"ASV0301";"ASV0573";"ASV0636";"ASV0915";"ASV1196";"ASV1470";"ASV1478";"ASV1576";"ASV1582";"ASV1722";"ASV1775";"ASV1802";"ASV1872";"ASV1892";"ASV1952";"ASV1958";"ASV1998";"ASV2013";"ASV2027";"ASV2071";"ASV2074";"ASV2084";"ASV2114";"ASV2132";"ASV2165";"ASV2180";"ASV2270";"ASV2271";"ASV2302";"ASV2318";"ASV2319";"ASV2320";"ASV2342";"ASV2357";"ASV2358";"ASV2467";"ASV2472";"ASV2490";"ASV2508";"ASV2598";"ASV2599";"ASV2659";"ASV2821";"ASV2845";"ASV2863";"ASV2889";"ASV3022";"ASV3029";"ASV3083";"ASV3124";"ASV3311";"ASV3422";"ASV3575";"ASV3577";"ASV3670";"ASV3714";"ASV3716";"ASV3763";"ASV3811";"ASV3881";"ASV3934";"ASV4001";"ASV4074";"ASV4188";"ASV4196";"ASV4199";"ASV4269";"ASV4277";"ASV4284";"ASV4367";"ASV4372";"ASV4373";"ASV4376";"ASV4460";"ASV4461";"ASV4469";"ASV4470";"ASV4542";"ASV4551";"ASV4558";"ASV4560";"ASV4725";"ASV4735";"ASV4838";"ASV4840";"ASV4844";"ASV4846";"ASV4848";"ASV4850";"ASV4967";"ASV4970";"ASV4974";"ASV4975";"ASV4976";"ASV4977";"ASV5086";"ASV5096";"ASV5098";"ASV5220";"ASV5224";"ASV5231";"ASV5232";"ASV5235";"ASV5241";"ASV5243";"ASV5372";"ASV5373";"ASV5379";"ASV5390";"ASV5393";"ASV5394";"ASV5516";"ASV5523";"ASV5533";"ASV5535";"ASV5539";"ASV5540";"ASV5541";"ASV5542";"ASV5683";"ASV5685";"ASV5688";"ASV5696";"ASV5697";"ASV5703";"ASV5704";"ASV5708";"ASV5713";"ASV5839";"ASV5850";"ASV5851";"ASV5855";"ASV5864";"ASV5869";"ASV5870";"ASV5872";"ASV5873";"ASV6070";"ASV6075";"ASV6079";"ASV6081";"ASV6083";"ASV6086";"ASV6087";"ASV6088"
"H1A17";56;0;0;22;45;37;47;0;0;138;0;0;121;0;0;112;108;0;0;0;0;0;0;0;0;0;0;0;0;23;14;0;0;0;0;47;0;0;0;70;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;26;0;0;14;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;16;0;0;0;0;0;0;15;6;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;30;11;25;0;0;0;0;0;0;0;0;0;0;23;12;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1A18";0;158;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;11;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2A17";0;0;0;354;66;45;52;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;8;0;0;7;0;0;0;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2F18";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2A18";0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;17;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;17;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3A17";265;0;0;0;72;50;44;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;14;0;0;0;0;0;0;0;39;0;0;32;0;26;0;0;0;0;50;0;30;41;0;0;0;0;34;0;0;0;0;0;0;0;7;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;19;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;4;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3F18";0;381;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0
"H3A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;15;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;11;0;0;0;0;0;0
"H4A17";1232;0;0;0;66;45;33;160;159;0;85;128;0;119;113;0;0;107;106;0;79;101;91;97;95;87;88;88;86;20;18;85;84;83;83;29;76;49;35;0;0;35;60;16;0;57;0;52;0;49;0;0;0;37;35;19;0;0;0;31;0;0;0;0;19;0;11;0;25;0;18;19;24;0;0;23;23;0;0;0;22;0;20;0;0;0;14;0;19;0;0;18;18;18;18;0;0;0;0;0;0;0;0;0;16;0;0;0;0;15;15;0;0;0;0;0;14;14;14;0;5;0;0;0;0;0;13;0;0;0;0;0;0;12;12;12;12;0;0;11;11;11;0;0;0
"H4F18";0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
"H4A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11
