"";"ASV0361";"ASV0584";"ASV0602";"ASV0669";"ASV0733";"ASV0745";"ASV0786";"ASV0810";"ASV0950";"ASV1094";"ASV1103";"ASV1123";"ASV1209";"ASV1257";"ASV1314";"ASV1325";"ASV1331";"ASV1338";"ASV1345";"ASV1411";"ASV1423";"ASV1446";"ASV1490";"ASV1565";"ASV1608";"ASV1695";"ASV1712";"ASV1753";"ASV1766";"ASV1791";"ASV1838";"ASV1920";"ASV1993";"ASV2052";"ASV2118";"ASV2126";"ASV2134";"ASV2201";"ASV2224";"ASV2255";"ASV2257";"ASV2329";"ASV2345";"ASV2346";"ASV2381";"ASV2418";"ASV2439";"ASV2456";"ASV2475";"ASV2476";"ASV2497";"ASV2519";"ASV2559";"ASV2561";"ASV2665";"ASV2669";"ASV2689";"ASV2708";"ASV2728";"ASV2730";"ASV2752";"ASV2756";"ASV2781";"ASV2825";"ASV2827";"ASV2873";"ASV2921";"ASV2922";"ASV2924";"ASV2945";"ASV2946";"ASV2954";"ASV2955";"ASV2956";"ASV2972";"ASV3004";"ASV3005";"ASV3006";"ASV3008";"ASV3036";"ASV3062";"ASV3129";"ASV3130";"ASV3131";"ASV3157";"ASV3162";"ASV3164";"ASV3233";"ASV3271";"ASV3273";"ASV3275";"ASV3325";"ASV3326";"ASV3327";"ASV3362";"ASV3363";"ASV3390";"ASV3437";"ASV3438";"ASV3468";"ASV3509";"ASV3511";"ASV3512";"ASV3514";"ASV3547";"ASV3589";"ASV3621";"ASV3680";"ASV3686";"ASV3741";"ASV3742";"ASV3785";"ASV3789";"ASV3839";"ASV3964";"ASV4024";"ASV4027";"ASV4100";"ASV4101";"ASV4107";"ASV4159";"ASV4163";"ASV4226";"ASV4227";"ASV4230";"ASV4238";"ASV4244";"ASV4307";"ASV4310";"ASV4312";"ASV4318";"ASV4404";"ASV4419";"ASV4422";"ASV4489";"ASV4491";"ASV4495";"ASV4496";"ASV4501";"ASV4504";"ASV4507";"ASV4589";"ASV4592";"ASV4673";"ASV4676";"ASV4677";"ASV4679";"ASV4757";"ASV4759";"ASV4760";"ASV4762";"ASV4766";"ASV4774";"ASV4778";"ASV4779";"ASV4780";"ASV4781";"ASV4884";"ASV4885";"ASV4887";"ASV4891";"ASV4894";"ASV4895";"ASV4899";"ASV5013";"ASV5014";"ASV5017";"ASV5032";"ASV5142";"ASV5145";"ASV5151";"ASV5158";"ASV5162";"ASV5165";"ASV5170";"ASV5300";"ASV5311";"ASV5312";"ASV5313";"ASV5433";"ASV5434";"ASV5437";"ASV5438";"ASV5447";"ASV5449";"ASV5452";"ASV5456";"ASV5457";"ASV5458";"ASV5580";"ASV5585";"ASV5588";"ASV5594";"ASV5595";"ASV5604";"ASV5605";"ASV5606";"ASV5608";"ASV5612";"ASV5613";"ASV5614";"ASV5621";"ASV5758";"ASV5759";"ASV5760";"ASV5762";"ASV5771";"ASV5930";"ASV5947";"ASV5948";"ASV5949";"ASV5950";"ASV5960";"ASV5964";"ASV5965";"ASV6148";"ASV6149";"ASV6152";"ASV6153";"ASV6157";"ASV6159";"ASV6169";"ASV6170";"ASV6178"
"L1A17";81;60;99;0;0;0;18;0;0;0;19;0;0;0;0;0;0;0;0;0;37;0;0;0;0;26;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;37;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;26;26;0;0;0;0;0;0;0;0;0;0;23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L1F18";50;247;0;387;0;19;60;228;283;150;0;89;193;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;97;0;0;0;0;0;0;0;0;79;0;0;32;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;53;53;0;0;0;0;0;0;0;48;0;0;0;45;22;0;0;0;0;0;0;0;0;0;40;17;0;0;0;0;0;22;35;0;0;0;0;0;0;0;0;0;28;28;0;27;0;0;0;3;0;0;25;0;0;0;24;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;19;19;0;0;0;0;0;18;18;0;0;0;17;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7;0;0;0;0;0;0;0;0;0;0;13;13;13;7;0;0;0;0;0;0;0;0;0;11;11;11;2;0;0;0;0;0
"L1A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;36;111;0;103;0;0;0;0;0;135;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;82;0;0;77;0;0;75;0;62;0;67;0;0;0;64;0;63;0;0;60;0;0;56;56;0;55;55;0;0;0;0;0;0;53;0;52;0;49;0;0;0;0;0;0;0;0;45;44;0;0;0;0;42;0;0;0;0;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L2A17";79;21;507;0;0;0;0;40;0;0;258;0;0;230;4;0;0;210;62;0;27;0;0;14;0;19;71;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;20;20;6;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;14;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;7;0;0;0
"L2F18";213;131;0;117;41;94;44;104;0;95;0;0;0;0;6;0;0;0;0;0;0;0;43;0;0;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;51;0;49;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;25;0;0;0;0;0;4;0;23;13;0;0;0;0;0;21;21;0;0;0;0;0;20;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L2A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;24;0;0;17;0;28;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;62;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;44;0;0;0;0;41;0;0;0;0;0;39;0;0;0;0;35;34;0;0;0;32;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;19;19;0;0;0;0;0;0;0;0;17;0;0;0;0;16;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;13;0;0;12;12;12;0;0;0;0;0;0;0;0;0;0;0;0
"L3A17";0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;85;0;0;87;0;51;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L3F18";569;107;0;79;317;238;209;53;67;44;0;134;52;0;78;0;0;0;0;0;0;0;62;0;114;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;55;55;0;18;0;0;0;28;0;0;0;0;23;0;48;0;0;0;0;0;0;0;0;43;43;0;0;41;0;15;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;14;14;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;11;11;0
"L3A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;90;0;0;62;0;52;0;0;0;0;0;0;96;0;0;0;109;104;99;24;0;93;91;0;89;0;0;84;0;0;0;0;0;76;0;74;0;72;0;67;0;0;0;64;0;0;0;0;60;58;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;24;0;0;0;0;0;0;0;0;22;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
"L4A17";11;19;53;0;0;40;0;0;0;0;6;0;0;0;87;0;0;0;0;0;39;0;0;26;0;46;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;4;0;0;0;0;0
