"";"ASV0263";"ASV0316";"ASV0373";"ASV0970";"ASV0972";"ASV1000";"ASV1564";"ASV1583";"ASV1617";"ASV1641";"ASV1660";"ASV1777";"ASV1803";"ASV1850";"ASV2124";"ASV2125";"ASV2326";"ASV2554";"ASV2645";"ASV2647";"ASV2648";"ASV2727";"ASV2944";"ASV2970";"ASV2971";"ASV3056";"ASV3059";"ASV3089";"ASV3091";"ASV3152";"ASV3153";"ASV3155";"ASV3191";"ASV3227";"ASV3262";"ASV3265";"ASV3266";"ASV3267";"ASV3268";"ASV3269";"ASV3322";"ASV3352";"ASV3386";"ASV3387";"ASV3388";"ASV3428";"ASV3462";"ASV3464";"ASV3542";"ASV3588";"ASV3678";"ASV3679";"ASV3772";"ASV3776";"ASV3824";"ASV3828";"ASV3832";"ASV3833";"ASV3888";"ASV3889";"ASV3890";"ASV3958";"ASV4019";"ASV4020";"ASV4096";"ASV4218";"ASV4220";"ASV4292";"ASV4296";"ASV4297";"ASV4298";"ASV4299";"ASV4304";"ASV4388";"ASV4390";"ASV4393";"ASV4397";"ASV4398";"ASV4399";"ASV4400";"ASV4482";"ASV4483";"ASV4484";"ASV4576";"ASV4655";"ASV4662";"ASV4663";"ASV4665";"ASV4745";"ASV4753";"ASV4756";"ASV4868";"ASV4875";"ASV4877";"ASV4997";"ASV5001";"ASV5007";"ASV5122";"ASV5123";"ASV5127";"ASV5141";"ASV5258";"ASV5259";"ASV5261";"ASV5270";"ASV5274";"ASV5280";"ASV5284";"ASV5285";"ASV5291";"ASV5410";"ASV5416";"ASV5422";"ASV5423";"ASV5424";"ASV5426";"ASV5567";"ASV5569";"ASV5731";"ASV5741";"ASV5742";"ASV5745";"ASV5754";"ASV5897";"ASV5904";"ASV5915";"ASV5918";"ASV5923";"ASV5924";"ASV5926";"ASV6107";"ASV6108";"ASV6109";"ASV6114";"ASV6123";"ASV6124";"ASV6128";"ASV6129";"ASV6130";"ASV6132";"ASV6134";"ASV6136";"ASV6137";"ASV6144"
"Q1A17";54;100;46;79;80;0;0;26;93;67;0;72;75;123;0;0;0;72;68;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;38;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;17;17;0;0;16;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q1F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q2A17";651;562;511;76;46;54;0;43;0;82;65;0;53;0;98;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;0;0;0;0;0;0;0;0;0;0;0
"Q2F18";0;0;0;27;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;18;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
"Q3A17";562;487;400;119;140;145;94;0;0;0;36;60;0;0;0;29;0;0;0;0;0;64;0;0;0;0;0;23;0;0;0;0;0;0;45;0;0;0;0;0;0;0;42;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;14;0;0;13;13;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q3F18";0;0;0;34;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;13;0;3;0;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0
"Q3A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;41;54;0;51;0;0;50;48;48;0;47;46;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;35;0;33;0;0;0;0;0;31;0;0;0;29;29;0;0;0;0;0;0;0;25;5;0;0;0;24;0;0;0;23;23;0;0;0;0;21;21;0;20;0;0;19;19;0;0;0;0;0;0;0;0;0;0;0;0;16;16;16;0;0;15;15;15;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0
"Q4A17";438;350;277;0;0;123;68;90;59;0;45;0;0;0;0;21;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;0;0;0
"Q4F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;0
"Q4A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;14;0;54;0;51;0;0;0;0;48;0;0;0;0;45;45;45;45;0;0;0;42;42;0;0;40;0;37;0;0;0;33;0;0;32;32;0;31;31;30;0;0;28;0;26;0;0;0;0;0;20;0;0;0;0;24;24;24;0;0;0;22;0;0;0;0;0;0;20;0;0;0;0;0;18;0;0;0;17;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;11
