"";"reads.in";"reads.out"
"SAM01_R1_18S_V9_lw_raw.fastq.gz";409977;389901
"SAM02_R1_18S_V9_lw_raw.fastq.gz";374282;347218
"SAM03_R1_18S_V9_lw_raw.fastq.gz";351295;331593
"SAM04_R1_18S_V9_lw_raw.fastq.gz";429559;401381
"SAM05_R1_18S_V9_lw_raw.fastq.gz";297013;279386
"SAM06_R1_18S_V9_lw_raw.fastq.gz";429863;408866
"SAM07_R1_18S_V9_lw_raw.fastq.gz";392549;365835
"SAM08_R1_18S_V9_lw_raw.fastq.gz";449700;430109
"SAM09_R1_18S_V9_lw_raw.fastq.gz";465595;437121
"SAM10_R1_18S_V9_lw_raw.fastq.gz";456359;429321
"SAM11_R1_18S_V9_lw_raw.fastq.gz";404993;378259
"SAM12_R1_18S_V9_lw_raw.fastq.gz";408194;386738
"SAM13_R1_18S_V9_lw_raw.fastq.gz";492770;473080
"SAM14_R1_18S_V9_lw_raw.fastq.gz";366002;349155
"SAM15_R1_18S_V9_lw_raw.fastq.gz";414604;392647
"SAM16_R1_18S_V9_lw_raw.fastq.gz";364301;343604
"SAM17_R1_18S_V9_lw_raw.fastq.gz";467122;442265
"SAM18_R1_18S_V9_lw_raw.fastq.gz";455874;436930
"SAM19_R1_18S_V9_lw_raw.fastq.gz";423337;403555
"SAM20_R1_18S_V9_lw_raw.fastq.gz";437765;416092
"SAM21_R1_18S_V9_lw_raw.fastq.gz";500355;466700
