"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"SAM01";409977;389901;378537;375539;354918;347511;84,8
"SAM02";374282;347218;333679;329142;314795;305991;81,8
"SAM03";351295;331593;323956;324777;313158;288165;82
"SAM04";429559;401381;393171;393674;379718;371940;86,6
"SAM05";297013;279386;270667;268119;258999;230278;77,5
"SAM06";429863;408866;395243;399466;388051;374384;87,1
"SAM07";392549;365835;353641;356627;336827;326915;83,3
"SAM08";449700;430109;420064;422179;410730;404321;89,9
"SAM09";465595;437121;428105;427267;418412;413626;88,8
"SAM10";456359;429321;413331;417366;404204;396377;86,9
"SAM11";404993;378259;361774;362483;351921;348402;86
"SAM12";408194;386738;380744;381207;372580;363169;89
"SAM13";492770;473080;464390;463438;452031;444202;90,1
"SAM14";366002;349155;343044;342838;336997;333498;91,1
"SAM15";414604;392647;381005;383092;372792;370206;89,3
"SAM16";364301;343604;329332;333416;319432;312698;85,8
"SAM17";467122;442265;428312;429086;419981;414237;88,7
"SAM18";455874;436930;429993;429650;423083;383647;84,2
"SAM19";423337;403555;395263;393908;385703;363179;85,8
"SAM20";437765;416092;402710;405636;387276;369543;84,4
"SAM21";500355;466700;453242;452971;436846;428296;85,6
